Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,13888425.00061,-4511196.494737,21905852.65659,0,0,0,0.5885248880971,-0.4175168947307,28493128.27375,28298673.4717783,148710451.6654,0.0006486571533458,0,0,0,7.720431444879,1.409592954948e-81,0,-2.18904609645,-0.417950815244,-12.80045567611,2.947111283319,1.299605857925,-14.36152711543,-23504.98343071,4472.849626094,0,0,259182.500,2296,86368,0,405.6057858808
600,13888490.62011,-4510920.046528,21905871.12064,0,0,0,0.5885287650353,-0.4175730111844,28493575.54748,28299120.7455925,148712802.1089,0.000648657151879,0,0,0,7.720077152793,1.409409491524e-81,0,-2.189029518885,-0.4180070723831,-12.80107454907,2.9470304617,1.299612807966,-14.36180871789,-23503.88620521,4472.640831023,0,0,259182.600,2296,86368,0,505.6042939359
700,13888556.24136,-4510643.598529,21905889.57989,0,0,0,0.5885326446141,-0.4176291256267,28494022.80032,28299567.998523,148715152.4426,0.0006486571504122,0,0,0,7.71972277144,1.409226001592e-81,0,-2.18901293399,-0.4180633276913,-12.80169340188,2.946949638629,1.299619758621,-14.3620902499,-23502.78858817,4472.431961447,0,0,259182.700,2296,86368,0,605.6028020607
800,13888621.86434,-4510367.150743,21905908.03437,0,0,0,0.5885365268332,-0.4176852380571,28494470.03228,28300015.2305649,148717502.6666,0.0006486571489455,0,0,0,7.71936830084,1.409042485176e-81,0,-2.188996342309,-0.4181195806688,-12.80231222905,2.946868813027,1.299626709889,-14.36237170599,-23501.69078516,4472.22305648,0,0,259182.800,2296,86368,0,705.6013102552
900,13888687.48906,-4510090.703168,21905926.48405,0,0,0,0.5885404116923,-0.4177413484753,28494917.24334,28300462.4417133,148719852.7808,0.0006486571474787,0,0,0,7.719013741015,1.408858942301e-81,0,-2.188979741725,-0.4181758316935,-12.80293103475,2.946787984345,1.29963366177,-14.36265309031,-23500.59269829,4472.014097497,0,0,259182.900,2296,86368,0,805.5998185194
1000,13888753.11551,-4509814.255805,21905944.92895,0,0,0,0.5885442991913,-0.4177974568807,28495364.43351,28300909.6316231,148722202.7869,0.0006486571460119,0,0,0,7.718318970339,1.408675372987e-81,0,-2.188963137762,-0.4182320806273,-12.80354981744,2.946707155708,1.299640614264,-14.36293440137,-23500.38801586,4471.975147724,0,0,259183.000,2296,86368,0,905.5983268544
1100,13888818.7437,-4509537.808654,21905963.36907,0,0,0,0.5885481893299,-0.4178535632729,28495811.60277,28301356.8009697,148724552.6814,0.0006486571445452,0,0,0,7.717964225401,1.40849177726e-81,0,-2.188946524816,-0.418288327731,-12.80416857999,2.946626324156,1.29964756737,-14.36321564203,-23498.39577086,4471.596036106,0,0,259183.100,2296,86368,0,1005.596835258
1200,13888884.37363,-4509261.361715,21905981.80441,0,0,0,0.5885520821078,-0.4179096676514,28496258.75112,28301803.9494081,148726902.4661,0.0006486571430784,0,0,0,7.717609391309,1.408308155141e-81,0,-2.188929905127,-0.4183445727295,-12.80478731939,2.946545490642,1.299654521089,-14.36349680929,-23497.29681283,4471.386911348,0,0,259183.200,2296,86368,0,1105.595343731
1300,13888950.0053,-4508984.914988,21906000.23495,0,0,0,0.5885559775248,-0.4179657700158,28496705.87856,28302251.0769333,148729252.1408,0.0006486571416116,0,0,0,7.717254468085,1.408124506653e-81,0,-2.188913277854,-0.4184008158464,-12.80540603809,2.946464657174,1.29966147542,-14.36377790561,-23496.19779608,4471.177775413,0,0,259183.300,2296,86368,0,1205.593852275
1400,13889015.63871,-4508708.468473,21906018.66072,0,0,0,0.5885598755805,-0.4180218703657,28497152.98508,28302698.1835404,148731601.7056,0.0006486571401449,0,0,0,7.71689945575,1.407940831821e-81,0,-2.188896643957,-0.4184570567645,-12.8060247326,2.946383819814,1.299668430363,-14.36405892752,-23495.09840737,4470.968568698,0,0,259183.400,2296,86368,0,1305.592360887
1500,13889081.27385,-4508432.02217,21906037.08169,0,0,0,0.5885637762748,-0.4180779687006,28497600.07068,28303145.2692246,148733951.1605,0.0006486571386781,0,0,0,7.716544354326,1.407757130666e-81,0,-2.188880000824,-0.4185132958715,-12.80664340719,2.946302981485,1.299675385918,-14.36433987929,-23493.99869565,4470.759300515,0,0,259183.500,2296,86368,0,1405.59086957
1600,13889146.91072,-4508155.57608,21906055.49789,0,0,0,0.5885676796074,-0.4181340650201,28498047.13536,28303592.333981,148736300.5053,0.0006486571372114,0,0,0,7.716189163833,1.407573403213e-81,0,-2.188863354853,-0.4185695326941,-12.80726205664,2.946222140203,1.299682342085,-14.36462075573,-23492.89886647,4470.550009981,0,0,259183.600,2296,86368,0,1505.589378323
1700,13889212.54934,-4507879.130202,21906073.9093,0,0,0,0.5885715855781,-0.4181901593237,28498494.17909,28304039.3778046,148738649.7402,0.0006486571357446,0,0,0,7.715833884295,1.407389649483e-81,0,-2.188846699514,-0.4186257678721,-12.80788068801,2.946141298845,1.299689298864,-14.36490156388,-23491.79870449,4470.340656117,0,0,259183.700,2296,86368,0,1605.587887145
1800,13889278.18969,-4507602.684536,21906092.31592,0,0,0,0.5885754941865,-0.4182462516109,28498941.2019,28304486.4006905,148740998.8651,0.0006486571342779,0,0,0,7.715478515732,1.407205869501e-81,0,-2.188830037292,-0.4186820007978,-12.8084992946,2.94606045622,1.299696256253,-14.36518229707,-23490.69835653,4470.131266862,0,0,259183.800,2296,86368,0,1705.586396037
1900,13889343.83178,-4507326.239083,21906110.71776,0,0,0,0.5885794054325,-0.4183023418813,28499388.20376,28304933.4026338,148743347.8799,0.0006486571328111,0,0,0,7.715123058167,1.407022063289e-81,0,-2.188813367521,-0.4187382318601,-12.80911788069,2.945979610863,1.299703214254,-14.3654629596,-23489.59762683,4469.921804965,0,0,259183.900,2296,86368,0,1805.584904999
2000,13889409.47561,-4507049.793842,21906129.11481,0,0,0,0.5885833193158,-0.4183584301345,28499835.18467,28305380.3832894,148745696.7864,0.0006486571313444,0,0,0,7.714427308962,1.406838230871e-81,0,-2.188796689632,-0.4187944608421,-12.80973644389,2.945898761585,1.299710172866,-14.36574354908,-23489.39062457,4469.882413745,0,0,259184.000,2296,86384,0,1905.583414032
2100,13889475.12117,-4506773.348814,21906147.50708,0,0,0,0.588587235836,-0.41841451637,28500282.14463,28305827.3433328,148748045.581,0.0006486571298776,0,0,0,7.71407166679,1.406654372269e-81,0,-2.188780007749,-0.4188506877831,-12.81035498464,2.945817912845,1.299717132089,-14.36602406595,-23487.3955997,4469.502773136,0,0,259184.100,2296,86384,0,2005.581923134
2200,13889540.76847,-4506496.903998,21906165.89457,0,0,0,0.5885911549931,-0.4184706005874,28500729.08363,28306274.282419,148750394.2655,0.0006486571284109,0,0,0,7.713715935685,1.406470487507e-81,0,-2.188763317486,-0.4189069127334,-12.81096924187,2.945737060324,1.299724091923,-14.36630024917,-23486.29414567,4469.293173403,0,0,259184.200,2296,86384,0,2105.580432306
2300,13889606.41751,-4506220.459395,21906184.27727,0,0,0,0.5885950767867,-0.4185266827862,28501176.00167,28306721.200543,148752742.8398,0.0006486571269442,0,0,0,7.71336011567,1.406286576607e-81,0,-2.188746619952,-0.4189631356305,-12.81157914791,2.945656208644,1.299731052367,-14.36657203106,-23485.19246651,4469.083530828,0,0,259184.300,2296,86384,0,2205.578941547
