Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,9823605.982027,-12230585.56271,21859832.87949,0,0,0,0.4579381581428,-0.1327066756869,26817364.79672,26678433.1854646,140196029.2958,0.000463452422017,0,0,0,7.929511022999,1.409592954948e-81,0,-2.319287231197,-0.1331016135732,-8.894432115428,2.081838901262,1.282601889192,-11.03797785606,-26219.85695891,4989.47288096,0,0,259182.500,2296,86368,0,411.0103257319
600,9823859.460107,-12230501.97084,21859764.42741,0,0,0,0.4579284930863,-0.1327695747918,26817863.73815,26678932.1262828,140198651.2508,0.0004634524230272,0,0,0,7.929199309316,1.409409491524e-81,0,-2.319284085017,-0.1331646375918,-8.895365962807,2.081767405444,1.282604367965,-11.03890813521,-26219.24244177,4989.355942234,0,0,259182.600,2296,86368,0,511.0086614444
700,9824112.937918,-12230418.38081,21859695.97086,0,0,0,0.4579188294432,-0.1328324718368,26818362.66788,26679431.0554033,140201273.1443,0.0004634524240375,0,0,0,7.928887506522,1.409226001592e-81,0,-2.319280932812,-0.1332276597594,-8.89629978276,2.081695897001,1.282606847827,-11.03983830757,-26218.62761139,4989.238943905,0,0,259182.700,2296,86368,0,611.006997196
800,9824366.415461,-12230334.79262,21859627.50983,0,0,0,0.4579091672128,-0.1328953668215,26818861.58592,26679929.9728213,140203894.9763,0.0004634524250478,0,0,0,7.928575614637,1.409042485176e-81,0,-2.3192777749,-0.1332906794895,-8.897233566594,2.081624388588,1.282609328778,-11.04076836446,-26218.01251674,4989.121895283,0,0,259182.800,2296,86368,0,711.0053329867
900,9824619.892736,-12230251.20628,21859559.04434,0,0,0,0.4578995063947,-0.1329582597457,26819360.49224,26680428.8785318,140206516.7468,0.000463452426058,0,0,0,7.92826363368,1.408858942301e-81,0,-2.319274609336,-0.1333536972253,-8.898167320879,2.081552887914,1.282611810818,-11.04169831245,-26217.39718716,4989.004801959,0,0,259182.900,2296,86368,0,811.0036688163
1000,9824873.369743,-12230167.62179,21859490.57436,0,0,0,0.457889846988,-0.133021150609,26819859.38686,26680927.7721973,140209138.4574,0.0004634524270683,0,0,0,7.927618889205,1.408675372987e-81,0,-2.319271441585,-0.1334167128069,-8.899101043244,2.081481381464,1.282614293947,-11.04262814919,-26217.65570507,4989.05399628,0,0,259183.000,2296,86368,0,911.0020046862
1100,9825126.846481,-12230084.03914,21859422.09992,0,0,0,0.4578801889922,-0.1330840394113,26820358.26975,26681426.6544783,140211760.1048,0.0004634524280785,0,0,0,7.927306722347,1.40849177726e-81,0,-2.319268266158,-0.1334797265388,-8.900034738202,2.081409881161,1.282616778163,-11.04355787919,-26216.16569601,4988.770456985,0,0,259183.100,2296,86368,0,1011.000340594
1200,9825380.32295,-12230000.45833,21859353.621,0,0,0,0.4578705324067,-0.1331469261521,26820857.14093,26681925.5250371,140214381.6906,0.0004634524290888,0,0,0,7.926994466484,1.408308155141e-81,0,-2.319265085173,-0.1335427380989,-8.900968400979,2.081338371709,1.282619263469,-11.04448749769,-26215.54953444,4988.653205335,0,0,259183.200,2296,86368,0,1110.998676541
1300,9825633.799151,-12229916.87937,21859285.13761,0,0,0,0.4578608772308,-0.1332098108314,26821356.00037,26682424.3838689,140217003.2147,0.000463452430099,0,0,0,7.926682121635,1.408124506653e-81,0,-2.31926189789,-0.1336057477499,-8.90190203547,2.081266860936,1.282621749862,-11.04541700858,-26214.9331673,4988.53591457,0,0,259183.300,2296,86368,0,1210.997012527
1400,9825887.275083,-12229833.30226,21859216.64975,0,0,0,0.4578512234638,-0.1332726934487,26821854.84809,26682923.2309688,140219624.6772,0.0004634524311093,0,0,0,7.926369687821,1.407940831821e-81,0,-2.319258705125,-0.1336687551199,-8.902835636161,2.081195355965,1.282624237344,-11.04634640637,-26214.31651631,4988.418569788,0,0,259183.400,2296,86368,0,1310.995348552
