Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-11954805.99081,-18383396.75595,-19871826.3346,0,0,0,-2.578245431545,0.8076654984352,23533211.83643,23440211.301217,123179111.3699,0.0003102260448488,0,0,0,2.893304703113,6.119107167566e-83,0,0.9267462079534,0.8080922884599,0.9139914594251,-1.49078971836,1.389609048172,5.106031728637,14439.33608289,-2747.714295983,0,0,259182.500,2296,86368,0,421.8118712606
600,-11954616.83295,-18383333.38682,-19871998.64877,0,0,0,-2.578159423233,0.807729217368,23532937.09016,23439936.5543181,123177667.5687,0.0003102260457896,0,0,0,2.892964180559,6.117939942574e-83,0,0.9268446016778,0.8081561691634,0.9145381207128,-1.490666087604,1.389621253455,5.106462125978,14436.6863111,-2747.210061178,0,0,259182.600,2296,86368,0,521.8127877176
700,-11954427.67295,-18383270.01859,-19872170.95988,0,0,0,-2.578073399391,0.8077929297363,23532662.39431,23439661.8578455,123176224.0326,0.0003102260467305,0,0,0,2.892623714194,6.11677280682e-83,0,0.9269430156835,0.8082200435038,0.9150847275471,-1.490542451691,1.389633458197,5.106892461084,14434.03625545,-2746.705772355,0,0,259182.700,2296,86368,0,621.8137040064
800,-11954238.51084,-18383206.65127,-19872343.26794,0,0,0,-2.577987360017,0.8078566355376,23532387.74889,23439387.2118038,123174780.7615,0.0003102260476713,0,0,0,2.892283304015,6.115605760366e-83,0,0.9270414490185,0.808283910961,0.9156312754792,-1.490418820716,1.389645662397,5.107322729518,14431.38602362,-2746.201450005,0,0,259182.800,2296,86368,0,721.814620127
900,-11954049.34659,-18383143.28486,-19872515.57294,0,0,0,-2.577901305109,0.8079203347694,23532113.1539,23439112.6161973,123173337.7554,0.0003102260486121,0,0,0,2.891942950021,6.114438803267e-83,0,0.9271399041103,0.8083477719244,0.9161777678404,-1.490295148409,1.389657866055,5.107752934622,14428.73547856,-2745.697068051,0,0,259182.900,2296,86368,0,821.8155360793
1000,-11953860.18022,-18383079.91936,-19872687.87488,0,0,0,-2.577815234663,0.8079840274291,23531838.60936,23438838.0709306,123171895.0149,0.000310226049553,0,0,0,2.891502974634,6.113271935578e-83,0,0.9272383753329,0.8084116262495,0.9167242033935,-1.490171457838,1.38967006917,5.108183075169,14425.82285266,-2745.142813772,0,0,259183.000,2296,86368,0,921.8164518637
1100,-11953671.01172,-18383016.55477,-19872860.17377,0,0,0,-2.577729148679,0.8080477135143,23531564.11526,23438563.5762075,123170452.539,0.0003102260504938,0,0,0,2.891162743396,6.112105157358e-83,0,0.9273368684996,0.8084754742037,0.9172705844271,-1.490047728098,1.38968227174,5.108613153461,14423.4338305,-2744.68819797,0,0,259183.100,2296,86368,0,1021.81736748
1200,-11953481.8411,-18382953.19109,-19873032.4696,0,0,0,-2.577643047152,0.8081113930224,23531289.67161,23438289.1319327,123169010.3282,0.0003102260514347,0,0,0,2.890822568337,6.110938468661e-83,0,0.9274353811495,0.8085393155001,0.9178169084873,-1.489924000673,1.389694473766,5.109043167054,14420.78261984,-2744.183689356,0,0,259183.200,2296,86368,0,1121.818282927
1300,-11953292.66835,-18382889.82832,-19873204.76237,0,0,0,-2.577556930081,0.8081750659509,23531015.27841,23438014.7381106,123167568.3825,0.0003102260523755,0,0,0,2.890482449454,6.109771869544e-83,0,0.9275339143108,0.8086031503684,0.9183631775381,-1.489800276079,1.389706675247,5.109473117924,14418.1312232,-2743.679145351,0,0,259183.300,2296,86368,0,1221.819198206
1400,-11953103.49347,-18382826.46645,-19873377.05208,0,0,0,-2.577470797463,0.8082387322973,23530740.93566,23437740.3947454,123166126.7019,0.0003102260533164,0,0,0,2.890142386747,6.108605360066e-83,0,0.9276324667672,0.808666978478,0.9189093887518,-1.489676508791,1.389718876181,5.109903003254,14415.47957206,-2743.174552917,0,0,259183.400,2296,86368,0,1321.820113317
1500,-11952914.31647,-18382763.1055,-19873549.33874,0,0,0,-2.577384649296,0.808302392059,23530466.64338,23437466.1018416,123164685.2866,0.0003102260542572,0,0,0,2.889802380212,6.107438940281e-83,0,0.9277310414475,0.8087308002281,0.9194555455436,-1.489552733818,1.389731076568,5.11033282647,14412.82766643,-2742.669912055,0,0,259183.500,2296,86368,0,1421.82102826
1600,-11952725.13734,-18382699.74546,-19873721.62234,0,0,0,-2.577298485577,0.8083660452334,23530192.40156,23437191.8594035,123163244.1364,0.0003102260551981,0,0,0,2.889462429847,6.106272610247e-83,0,0.9278296315779,0.8087946151271,0.9200016437066,-1.489428926709,1.389743276408,5.110762583378,14410.17556504,-2742.16523394,0,0,259183.600,2296,86368,0,1521.821943034
1700,-11952535.95608,-18382636.38632,-19873893.90288,0,0,0,-2.577212306304,0.8084296918182,23529918.21022,23436917.6674355,123161803.2515,0.0003102260561389,0,0,0,2.889122535652,6.105106370018e-83,0,0.9279282442067,0.8088584238346,0.9205476888857,-1.489305096656,1.389755475699,5.111192279633,14407.52323851,-2741.660512984,0,0,259183.700,2296,86368,0,1621.82285764
1800,-11952346.7727,-18382573.0281,-19874066.18037,0,0,0,-2.577126111475,0.8084933318107,23529644.06935,23436643.525942,123160362.6318,0.0003102260570798,0,0,0,2.888782697623,6.103940219655e-83,0,0.9280268763584,0.80892222572,0.9210936756843,-1.489181280278,1.38976767444,5.11162190985,14404.87072601,-2741.155756637,0,0,259183.800,2296,86368,0,1721.823772078
1900,-11952157.58719,-18382509.67079,-19874238.4548,0,0,0,-2.577039901086,0.8085569652084,23529369.97895,23436369.4349273,123158922.2773,0.0003102260580206,0,0,0,2.888442915759,6.102774159209e-83,0,0.9281255290185,0.8089860211835,0.9216396075275,-1.489057422104,1.389779872632,5.112051477466,14402.21792964,-2740.650946274,0,0,259183.900,2296,86368,0,1821.824686347
2000,-11951968.39955,-18382446.31438,-19874410.72617,0,0,0,-2.576953675137,0.8086205920088,23529095.93904,23436095.3942961,123157482.1887,0.0003102260589615,0,0,0,2.888003610603,6.10160818874e-83,0,0.9282242025814,0.8090498099985,0.922185482476,-1.488933550728,1.389792070273,5.112480980552,14399.30323843,-2740.096298978,0,0,259184.000,2296,86384,0,1921.825600448
2100,-11951779.20979,-18382382.95889,-19874582.99448,0,0,0,-2.576867433623,0.8086842122094,23528821.94962,23435821.4042522,123156042.3649,0.0003102260599023,0,0,0,2.887663951464,6.100442308306e-83,0,0.9283228929631,0.8091135922039,0.9227313008628,-1.488809658351,1.389804267362,5.112910419452,14396.91165174,-2739.641195163,0,0,259184.100,2296,86384,0,2021.826514381
2200,-11951590.0179,-18382319.6043,-19874755.25974,0,0,0,-2.576781176543,0.8087478258075,23528548.01069,23435547.4647001,123154602.8064,0.0003102260608432,0,0,0,2.887324348484,6.099276517959e-83,0,0.9284216045884,0.8091773678495,0.9232770631134,-1.488685750902,1.3898164639,5.113339794605,14394.25821914,-2739.136263728,0,0,259184.200,2296,86384,0,2121.827428145
2300,-11951400.82389,-18382256.25062,-19874927.52194,0,0,0,-2.576694903894,0.8088114328008,23528274.12226,23435273.5756442,123153163.5133,0.000310226061784,0,0,0,2.886984801661,6.098110817757e-83,0,0.9285203363016,0.8092411368684,0.9238227686568,-1.488561833029,1.389828659884,5.113769105449,14391.6044831,-2738.631274551,0,0,259184.300,2296,86384,0,2221.82834174
2400,-11951211.62775,-18382192.89786,-19875099.78108,0,0,0,-2.576608615674,0.8088750331866,23528000.28432,23434999.737089,123151724.4855,0.0003102260627248,0,0,0,2.886645310993,6.09694520776e-83,0,0.9286190878874,0.8093048992045,0.9243684170111,-1.488437882825,1.389840855314,5.114198351514,14388.95054151,-2738.126246259,0,0,259184.400,2296,86384,0,2321.829255167
2500,-11951022.42948,-18382129.546,-19875272.03717,0,0,0,-2.576522311881,0.8089386269624,23527726.49689,23434725.9490387,123150285.7232,0.0003102260636657,0,0,0,2.886305876479,6.095779688017e-83,0,0.9287178594291,0.8093686550648,0.9249140099484,-1.488313919173,1.38985305019,5.114627534585,14386.29641395,-2737.621182576,0,0,259184.500,2296,86384,0,2421.830168426
2600,-11950833.22909,-18382066.19506,-19875444.2902,0,0,0,-2.576435992511,0.8090022141257,23527452.75998,23434452.2114978,123148847.2262,0.0003102260646065,0,0,0,2.885966498115,6.094614258592e-83,0,0.9288166529838,0.8094324046095,0.9254595488398,-1.488189928422,1.38986524451,5.115056656042,14383.64201231,-2737.116066739,0,0,259184.600,2296,86384,0,2521.831081516
