Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,5005662.553903,-14607046.64248,-21671618.48725,0,0,0,2.73601038948,0.5354435831849,21832776.06918,21938495.6117588,115287534.5178,-0.0003526303597916,0,0,0,3.620248159874,8.644846057264e-83,0,-0.04105413104557,0.53545267185,-1.398123266099,-2.225295980757,1.318779324535,0.6756715850007,29376.60231127,-5590.181548148,0,0,259182.500,2296,86368,0,426.8210556126
600,5005927.257756,-14606975.73003,-21671605.3344,0,0,0,2.735985743251,0.5355430547813,21832217.06704,21937936.6090369,115284596.9451,-0.0003526303599121,0,0,0,3.619633085147,8.642286155837e-83,0,-0.04106584335063,0.5355521399845,-1.397268400453,-2.225303626329,1.318794523032,0.6777760439444,29374.85090656,-5589.848266914,0,0,259182.600,2296,86368,0,526.8229202449
700,5006191.961851,-14606904.81913,-21671592.17697,0,0,0,2.735961091041,0.5356425292555,21831658.09823,21937377.6396484,115281659.5476,-0.0003526303600326,0,0,0,3.619018110287,8.639726982792e-83,0,-0.04107755701903,0.5356516112951,-1.396413507511,-2.225311277362,1.318809724458,0.6798807204885,29373.09907118,-5589.514903724,0,0,259182.700,2296,86368,0,626.8247847661
800,5006456.666187,-14606833.90977,-21671579.01495,0,0,0,2.735936432847,0.5357420066075,21831099.16276,21936818.7036001,115278722.3253,-0.000352630360153,0,0,0,3.618403235297,8.637168537902e-83,0,-0.04108927226447,0.5357510849211,-1.39555859467,-2.225318927615,1.318824928811,0.6819856072354,29371.34690299,-5589.181477204,0,0,259182.800,2296,86368,0,726.8266491761
900,5006721.370764,-14606763.00196,-21671565.84835,0,0,0,2.73591176867,0.5358414868371,21830540.26064,21936259.8008988,115275785.2783,-0.0003526303602735,0,0,0,3.617788460179,8.63461082093e-83,0,-0.04110098722239,0.5358505615112,-1.394703656354,-2.22532658375,1.318840136092,0.6840907097587,29369.59429432,-5588.847966865,0,0,259182.900,2296,86368,0,826.8285134748
1000,5006986.075583,-14606692.0957,-21671552.67716,0,0,0,2.735887098506,0.5359409699445,21829981.39187,21935700.9314184,115272848.4072,-0.0003526303603939,0,0,0,3.617040985424,8.632053831638e-83,0,-0.04111270732695,0.5359500408387,-1.393848694512,-2.225334243382,1.3188553463,0.68619602611,29367.49243053,-5588.447995484,0,0,259183.000,2296,86368,0,926.8303776627
1100,5007250.780642,-14606621.19099,-21671539.50139,0,0,0,2.735862422357,0.5360404559296,21829422.55646,21935142.0954314,115269911.7107,-0.0003526303605144,0,0,0,3.616426432805,8.629497569795e-83,0,-0.04112442714796,0.5360495233433,-1.392993705364,-2.225341905319,1.318870559437,0.6883015600671,29366.08814711,-5588.180769235,0,0,259183.100,2296,86368,0,1026.832241739
1200,5007515.485942,-14606550.28782,-21671526.32103,0,0,0,2.735837740219,0.5361399447923,21828863.75442,21934583.2928117,115266975.1896,-0.0003526303606349,0,0,0,3.615811980062,8.626942035165e-83,0,-0.04113614874499,0.5361490085554,-1.392138692948,-2.225349571412,1.318885775501,0.6904073075934,29364.33438344,-5587.847039104,0,0,259183.200,2296,86368,0,1126.834105704
1300,5007780.191484,-14606479.38621,-21671513.13609,0,0,0,2.735813052092,0.5362394365327,21828304.98575,21934024.5235661,115264038.8439,-0.0003526303607553,0,0,0,3.615197627199,8.624387227513e-83,0,-0.04114787142596,0.5362484968603,-1.391283653951,-2.225357240764,1.318900994494,0.6925132719987,29362.58045336,-5587.513277307,0,0,259183.300,2296,86368,0,1226.835969557
1400,5008044.897266,-14606408.48614,-21671499.94657,0,0,0,2.735788357974,0.5363389311508,21827746.25047,21933465.7877013,115261102.6735,-0.0003526303608758,0,0,0,3.614583374216,8.621833146608e-83,0,-0.04115959594058,0.536347987713,-1.390428593057,-2.225364914744,1.318916216414,0.6946194485994,29360.82611217,-5587.17943728,0,0,259183.400,2296,86368,0,1326.8378333
1500,5008309.603289,-14606337.58761,-21671486.75246,0,0,0,2.735763657865,0.5364384286465,21827187.54857,21932907.0852242,115258166.6786,-0.0003526303609963,0,0,0,3.613969221115,8.619279792213e-83,0,-0.04117131993766,0.5364474817783,-1.389573504552,-2.225372588888,1.318931441262,0.6967258431074,29359.07138925,-5586.845524609,0,0,259183.500,2296,86368,0,1426.839696931
1600,5008574.309552,-14606266.69064,-21671473.55376,0,0,0,2.735738951763,0.5365379290199,21826628.88006,21932348.4161414,115255230.8593,-0.0003526303611167,0,0,0,3.6133551679,8.616727164098e-83,0,-0.04118304950049,0.5365469782524,-1.388718395346,-2.225380269421,1.318946669039,0.6988324486138,29357.31629436,-5586.511541158,0,0,259183.600,2296,86368,0,1526.84156045
1700,5008839.016057,-14606195.79522,-21671460.35049,0,0,0,2.735714239667,0.5366374322709,21826070.24496,21931789.7804599,115252295.2154,-0.0003526303612372,0,0,0,3.612741214571,8.614175262024e-83,0,-0.04119477852821,0.5366464782277,-1.387863256049,-2.225387952146,1.318961899743,0.7009392745054,29355.56086668,-5586.177494377,0,0,259183.700,2296,86368,0,1626.843423858
1800,5009103.722801,-14606124.90134,-21671447.14262,0,0,0,2.735689521575,0.5367369383995,21825511.64326,21931231.1781863,115249359.7471,-0.0003526303613576,0,0,0,3.612127361132,8.611624085766e-83,0,-0.04120650909894,0.5367459806611,-1.387008095626,-2.225395635258,1.318977133376,0.7030463118178,29353.80516493,-5585.843395442,0,0,259183.800,2296,86368,0,1726.845287155
1900,5009368.429787,-14606054.00901,-21671433.93017,0,0,0,2.735664797486,0.5368364474057,21824953.07498,21930672.6093275,115246424.4544,-0.0003526303614781,0,0,0,3.611513607583,8.609073635083e-83,0,-0.04121824081037,0.5368454862232,-1.386152908314,-2.225403325352,1.318992369937,0.7051535663132,29352.0490227,-5585.509212688,0,0,259183.900,2296,86368,0,1826.84715034
2000,5009633.137013,-14605983.11823,-21671420.71314,0,0,0,2.735640067399,0.5369359592895,21824394.54012,21930114.0737576,115243489.338,-0.0003526303615986,0,0,0,3.610767375255,8.606523909745e-83,0,-0.04122997294776,0.5369449945392,-1.385297697334,-2.225411018932,1.319007609426,0.7072610347694,29349.94418328,-5585.108675063,0,0,259184.000,2296,86384,0,1926.849013414
2100,5009897.844479,-14605912.229,-21671407.49152,0,0,0,2.735615331313,0.5370354740509,21823836.03869,21929555.5717486,115240554.3966,-0.000352630361719,0,0,0,3.610153844237,8.603974909523e-83,0,-0.04124170966516,0.5370445056857,-1.384442462028,-2.225418715946,1.319022851843,0.7093687178434,29348.53573006,-5584.840655327,0,0,259184.100,2296,86384,0,2026.850876376
2200,5010162.552186,-14605841.34131,-21671394.26532,0,0,0,2.735590589226,0.5371349916899,21823277.57069,21928997.1031747,115237619.6308,-0.0003526303618395,0,0,0,3.609540413114,8.601426634178e-83,0,-0.04125344660997,0.537144019742,-1.383587201714,-2.225426413883,1.319038097189,0.7114766162155,29346.7785307,-5584.506271407,0,0,259184.200,2296,86384,0,2126.852739227
2300,5010427.260133,-14605770.45517,-21671381.03453,0,0,0,2.735565841138,0.5372345122064,21822719.13614,21928438.6680427,115234685.0409,-0.00035263036196,0,0,0,3.608927081889,8.598879083478e-83,0,-0.04126518485066,0.5372435366027,-1.382731917297,-2.225434116878,1.319053345463,0.7135847289807,29345.0210279,-5584.171829745,0,0,259184.300,2296,86384,0,2226.854601966
2400,5010691.96832,-14605699.57058,-21671367.79916,0,0,0,2.735541087046,0.5373340356004,21822160.73503,21927880.2663593,115231750.6267,-0.0003526303620804,0,0,0,3.608313850564,8.596332257198e-83,0,-0.04127692452871,0.5373430561786,-1.381876609546,-2.225441823557,1.319068596665,0.7156930553694,29343.26315316,-5583.837317303,0,0,259184.400,2296,86384,0,2326.856464593
2500,5010956.676747,-14605628.68754,-21671354.55921,0,0,0,2.73551632695,0.537433561872,21821602.36738,21927321.8981313,115228816.3883,-0.0003526303622009,0,0,0,3.607700719141,8.593786155094e-83,0,-0.04128866586754,0.5374425788196,-1.381021275452,-2.225449532211,1.319083850796,0.7178015983891,29341.50489666,-5583.502732217,0,0,259184.500,2296,86384,0,2426.858327109
2600,5011221.385414,-14605557.80605,-21671341.31467,0,0,0,2.735491560848,0.5375330910211,21821044.03319,21926763.5633654,115225882.3257,-0.0003526303623213,0,0,0,3.607087687622,8.591240776944e-83,0,-0.04130040704618,0.5375421047939,-1.380165912709,-2.225457245909,1.319099107855,0.7199103603442,29339.74628779,-5583.168080077,0,0,259184.600,2296,86384,0,2526.860189514
