Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-15438659.13325,3180248.862399,21148410.5275,0,0,0,-0.661954881113,-0.4960331805865,29160826.04444,29116844.9392499,153009957.0703,0.0001467355860066,0,0,0,9.116815524792,1.409592954948e-81,0,2.844341852832,-0.4959122421845,-13.66360864913,0.028861133876,1.310623263498,-14.66326919069,-27272.48722713,5189.781760797,0,0,259182.500,2296,86368,0,402.8766596281
600,-15438749.66371,3179989.011008,21148387.77885,0,0,0,-0.6619705923641,-0.4960995793014,29161345.01318,29117363.9072093,153012684.2689,0.0001467355874561,0,0,0,9.116469053007,1.409409491524e-81,0,2.844339142408,-0.4959786012236,-13.66438934554,0.02888254512459,1.310632864787,-14.66353597193,-27271.48626923,5189.591284841,0,0,259182.600,2296,86368,0,502.8749285374
700,-15438840.19544,3179729.160415,21148365.02562,0,0,0,-0.6619863089363,-0.4961659769414,29161863.96287,29117882.8561173,153015411.3675,0.0001467355889056,0,0,0,9.116122492339,1.409226001592e-81,0,2.844336431241,-0.4960449594763,-13.66517003269,0.02890395532926,1.310642467068,-14.66380266641,-27270.48507641,5189.400764182,0,0,259182.700,2296,86368,0,602.8731975101
800,-15438930.72842,3179469.31062,21148342.26778,0,0,0,-0.66200203083,-0.4962323735067,29162382.8935,29118401.7859719,153018138.3659,0.0001467355903552,0,0,0,9.115775842804,1.409042485176e-81,0,2.844333719233,-0.4961113161192,-13.6659507009,0.02892536183359,1.310652070341,-14.66406926445,-27269.48372697,5189.210213721,0,0,259182.800,2296,86368,0,702.8714665465
900,-15439021.26267,3179209.461625,21148319.50536,0,0,0,-0.6620177580458,-0.4962987689974,29162901.80509,29118920.6967709,153020865.2642,0.0001467355918047,0,0,0,9.115429104421,1.408858942301e-81,0,2.844331008164,-0.4961776717726,-13.66673135747,0.02894677402594,1.310661674607,-14.66433577334,-27268.48230902,5189.019650221,0,0,259182.900,2296,86368,0,802.8697356463
1000,-15439111.79817,3178949.613428,21148296.73834,0,0,0,-0.6620334905843,-0.4963651634134,29163420.69761,29119439.5882672,153023592.0637,0.0001467355932542,0,0,0,9.114837002809,1.408675372987e-81,0,2.844328292629,-0.4962440262213,-13.66751199987,0.02896818638702,1.310671279864,-14.66460219057,-27268.12523307,5188.951700926,0,0,259183.000,2296,86368,0,902.8680048106
1100,-15439202.33492,3178689.76603,21148273.96672,0,0,0,-0.662049228446,-0.496431556755,29163939.57107,29119958.4609489,153026318.7617,0.0001467355947038,0,0,0,9.114490079377,1.40849177726e-81,0,2.844325578001,-0.4963103798845,-13.66829263303,0.02898960283647,1.310680886113,-14.66486852108,-27266.47919905,5188.638471067,0,0,259183.100,2296,86368,0,1002.866274038
1200,-15439292.87294,3178429.919431,21148251.19052,0,0,0,-0.6620649716313,-0.4964979490221,29164458.42547,29120477.3145688,153029045.3595,0.0001467355961533,0,0,0,9.114143067154,1.408308155141e-81,0,2.844322862284,-0.4963767323135,-13.66907325166,0.02901101510714,1.310690493354,-14.66513475958,-27265.47733084,5188.447821885,0,0,259183.200,2296,86368,0,1102.864543328
1300,-15439383.41221,3178170.073632,21148228.40972,0,0,0,-0.662080720141,-0.4965643402148,29164977.26081,29120996.1491248,153031771.8571,0.0001467355976029,0,0,0,9.113795966156,1.408124506653e-81,0,2.844320146119,-0.4964430838768,-13.66985386012,0.02903242647513,1.310700101587,-14.66540091042,-27264.47546262,5188.257172704,0,0,259183.300,2296,86368,0,1202.862812682
1400,-15439473.95274,3177910.228631,21148205.62432,0,0,0,-0.6620964739754,-0.4966307303331,29165496.07708,29121514.9646148,153034498.2546,0.0001467355990524,0,0,0,9.113448776401,1.407940831821e-81,0,2.84431742883,-0.4965094340533,-13.67063445226,0.02905384169713,1.310709710811,-14.66566696749,-27263.47348674,5188.066503033,0,0,259183.400,2296,86368,0,1302.8610821
