Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-5186191.067037,-15152183.94779,21176818.44156,0,0,0,-0.1031434544707,0.07470616469377,24835799.49053,24817036.417835,130414325.0852,6.261274465982e-05,0,0,0,7.755925110639,5.120426013383e-82,0,-2.880214864896,0.07454509993482,-6.114920805312,1.103338971222,1.276808951113,-7.985822984748,-32936.75365665,6267.65582338,0,0,259182.500,2296,86368,0,417.2192770179
600,-5185981.271407,-15152352.8122,21176748.64227,0,0,0,-0.1031521235042,0.07462277366848,24836426.25687,24817663.1851067,130417618.7622,6.261274383971e-05,0,0,0,7.756611243654,5.124194017071e-82,0,-2.880210646335,0.07446165657945,-6.115856809488,1.103311469208,1.276807060108,-7.98711033974,-32936.78694655,6267.662158236,0,0,259182.600,2296,86368,0,517.2171863473
700,-5185771.477411,-15152521.67726,21176678.83848,0,0,0,-0.1031607942415,0.07453938523249,24837053.02384,24818289.9530084,130420912.4426,6.261274301959e-05,0,0,0,7.757297467408,5.127967669626e-82,0,-2.880206424887,0.07437821551784,-6.116792787934,1.103283959453,1.276805171267,-7.98839751252,-32936.81997216,6267.668442801,0,0,259182.700,2296,86368,0,617.2150956746
800,-5185561.68505,-15152690.54295,21176609.03018,0,0,0,-0.1031694666832,0.07445599938568,24837679.79144,24818916.7215351,130424206.1262,6.261274219947e-05,0,0,0,7.757983781965,5.131746982709e-82,0,-2.88020220077,0.07429477758211,-6.117728731317,1.103256446948,1.276803284588,-7.989684493766,-32936.85262582,6267.674656585,0,0,259182.800,2296,86368,0,717.2130049998
900,-5185351.894323,-15152859.40928,21176539.21737,0,0,0,-0.1031781408297,0.07437261612794,24838306.55965,24819543.4906817,130427499.8131,6.261274137936e-05,0,0,0,7.75867018739,5.135531968002e-82,0,-2.880197972114,0.07421134214424,-6.11866464668,1.103228938274,1.276801400072,-7.990971290533,-32936.88507392,6267.680831254,0,0,259182.900,2296,86368,0,817.210914323
1000,-5185142.10523,-15153028.27626,21176469.40004,0,0,0,-0.1031868166816,0.07428923545915,24838933.32848,24820170.260176,130430793.5046,6.261274055924e-05,0,0,0,7.759089412103,5.139322637213e-82,0,-2.880193744359,0.07412790942536,-6.119600531544,1.103201432319,1.276799517719,-7.992257900352,-32937.61949733,6267.820587382,0,0,259183.000,2296,86368,0,917.208823645
1100,-5184932.317772,-15153197.14387,21176399.57821,0,0,0,-0.1031954942394,0.07420585737919,24839560.09792,24820797.0305474,130434087.1979,6.261273973912e-05,0,0,0,7.759775965575,5.143119002084e-82,0,-2.880189512067,0.0740444789981,-6.120536390703,1.103173928447,1.276797637528,-7.993544328028,-32936.9491577,6267.693025991,0,0,259183.100,2296,86368,0,1017.206732964
1200,-5184722.531948,-15153366.01212,21176329.75187,0,0,0,-0.1032041735036,0.07412248188795,24840186.86796,24821423.8015236,130437380.8944,6.2612738919e-05,0,0,0,7.760462610105,5.146921074378e-82,0,-2.8801852773,0.07396105131715,-6.121472219055,1.103146418511,1.276795759499,-7.994830568471,-32936.98070528,6267.699029297,0,0,259183.200,2296,86368,0,1117.204642281
1300,-5184512.747759,-15153534.88101,21176259.92102,0,0,0,-0.1032128544747,0.07403910898532,24840813.63861,24822050.5730996,130440674.5941,6.261273809888e-05,0,0,0,7.761149345758,5.150728865888e-82,0,-2.880181039363,0.07387762600969,-6.122408020783,1.103118902537,1.276793883633,-7.996116625876,-32937.01210604,6267.705004662,0,0,259183.300,2296,86368,0,1217.202551596
1400,-5184302.965204,-15153703.75054,21176190.08566,0,0,0,-0.1032215371533,0.07395573867118,24841440.40985,24822677.3452704,130443968.2968,6.261273727877e-05,0,0,0,7.761836172599,5.154542388439e-82,0,-2.880176799009,0.07379420360266,-6.123343789977,1.103091394577,1.276792009928,-7.997402494342,-32937.04322294,6267.710926011,0,0,259183.400,2296,86368,0,1317.200460909
