Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,19228298.91096,1432649.662251,-18710198.10815,0,0,0,2.371363890806,-0.2619415244482,27811018.10244,27914855.5055932,146693495.5178,-0.0003463451679238,0,0,0,5.733942325105,1.409592954948e-81,0,-0.4058709402893,-0.2621157795191,-10.78934987486,2.108708430115,1.289748374604,-12.7834628844,31664.64310903,-6025.581235066,0,0,259182.500,2296,86368,0,406.8860648069
600,19228120.70304,1432796.214801,-18710367.87127,0,0,0,2.371364637502,-0.2618666677277,27810415.53508,27914252.9379079,146690329.0073,-0.0003463451681455,0,0,0,5.733550928021,1.409409491524e-81,0,-0.4058572769165,-0.2620409713216,-10.78825570478,2.108678003195,1.289742566285,-12.78254952435,31665.56580974,-6025.756819174,0,0,259182.600,2296,86368,0,506.8880747563
700,19227942.49433,1432942.769733,-18710537.63055,0,0,0,2.371365378107,-0.2617918088384,27809812.95017,27913650.3526671,146687162.4046,-0.0003463451683673,0,0,0,5.733159604137,1.409226001592e-81,0,-0.4058436149651,-0.2619661606736,-10.78716149886,2.108647578388,1.289736759406,-12.78163602746,31666.48824617,-6025.93235299,0,0,259182.700,2296,86368,0,606.8900847644
800,19227764.28483,1433089.327045,-18710707.38598,0,0,0,2.371366112619,-0.2617169477802,27809210.3477,27913047.7498744,146683995.7097,-0.000346345168589,0,0,0,5.732768353482,1.409042485176e-81,0,-0.4058299547604,-0.2618913483662,-10.78606726867,2.108617132228,1.289730953965,-12.78072240531,31667.41056514,-6026.107864454,0,0,259182.800,2296,86368,0,706.8920948309
900,19227586.07454,1433235.886738,-18710877.13756,0,0,0,2.371366841039,-0.2616420845531,27808607.72768,27912445.1295334,146680828.9225,-0.0003463451688107,0,0,0,5.732377176084,1.408858942301e-81,0,-0.4058162943501,-0.2618165338038,-10.7849730055,2.108586690047,1.289725149965,-12.77980864916,31668.33262962,-6026.28332749,0,0,259182.900,2296,86368,0,806.894104956
1000,19227407.86346,1433382.448813,-18711046.8853,0,0,0,2.371367563367,-0.2615672191569,27808005.09012,27911842.4914197,146677662.0444,-0.0003463451690325,0,0,0,5.731758198998,1.408675372987e-81,0,-0.4058026392028,-0.2617417171922,-10.7838695338,2.108556253081,1.289719347404,-12.77888558346,31668.65579902,-6026.344824582,0,0,259183.000,2296,86368,0,906.8961151404
1100,19227229.65158,1433529.013268,-18711216.6292,0,0,0,2.371368279602,-0.2614923515916,27807402.43502,27911239.8359926,146674495.0728,-0.0003463451692542,0,0,0,5.731367207742,1.40849177726e-81,0,-0.4057889838242,-0.2616668981295,-10.78276329698,2.108525843658,1.289713546283,-12.77795965161,31670.17621043,-6026.634149253,0,0,259183.100,2296,86368,0,1006.898125382
1200,19227051.43892,1433675.580103,-18711386.36924,0,0,0,2.371368989744,-0.2614174818571,27806799.76238,27910637.1630277,146671328.0092,-0.0003463451694759,0,0,0,5.730976289835,1.408308155141e-81,0,-0.405775330336,-0.2615920770465,-10.78165703029,2.108495412002,1.289707746602,-12.77703358885,31671.09764845,-6026.80949308,0,0,259183.200,2296,86368,0,1106.900135683
1300,19226873.22546,1433822.14932,-18711556.10545,0,0,0,2.371369693793,-0.2613426099534,27806197.0722,27910034.4725286,146668160.8533,-0.0003463451696977,0,0,0,5.730585445305,1.408124506653e-81,0,-0.4057616779944,-0.2615172535891,-10.78055072849,2.108464974416,1.289701948361,-12.77610738993,31672.01907669,-6026.984835044,0,0,259183.300,2296,86368,0,1206.902146042
1400,19226695.01121,1433968.720918,-18711725.8378,0,0,0,2.371370391749,-0.2612677358803,27805594.3645,27909431.7644988,146664993.6053,-0.0003463451699194,0,0,0,5.73019467418,1.407940831821e-81,0,-0.4057480276196,-0.2614424282581,-10.77944439899,2.10843455956,1.28969615156,-12.77518106224,31672.94021128,-6027.160121128,0,0,259183.400,2296,86368,0,1306.90415646
1500,19226516.79617,1434115.294896,-18711895.56631,0,0,0,2.371371083611,-0.2611928596378,27804991.63926,27908829.0389418,146661826.2653,-0.0003463451701412,0,0,0,5.729803976488,1.407757130666e-81,0,-0.4057343767705,-0.261367600443,-10.77833803277,2.10840413087,1.2896903562,-12.77425459675,31673.86119905,-6027.335379273,0,0,259183.500,2296,86368,0,1406.906166936
1600,19226338.58034,1434261.871255,-18712065.29098,0,0,0,2.37137176938,-0.2611179812257,27804388.89651,27908226.2958611,146658658.8331,-0.0003463451703629,0,0,0,5.729413352257,1.407573403213e-81,0,-0.4057207316405,-0.2612927708802,-10.7772316407,2.108373712794,1.289684562281,-12.77332800434,31674.78190296,-6027.510583401,0,0,259183.600,2296,86368,0,1506.90817747
1700,19226160.36372,1434408.449995,-18712235.01179,0,0,0,2.371372449054,-0.2610431006441,27803786.13623,27907623.5352603,146655491.3089,-0.0003463451705846,0,0,0,5.729022801515,1.407389649483e-81,0,-0.4057070859789,-0.261217938568,-10.77612520798,2.108343303161,1.289678769802,-12.77240127018,31675.70253835,-6027.68577449,0,0,259183.700,2296,86368,0,1606.910188063
1800,19225982.14631,1434555.031116,-18712404.72876,0,0,0,2.371373122635,-0.2609682178929,27803183.35844,27907020.7571429,146652323.6926,-0.0003463451708064,0,0,0,5.72863232429,1.407205869501e-81,0,-0.4056934420008,-0.2611431044643,-10.77501874877,2.108312882544,1.289672978765,-12.77147440842,31676.6230367,-6027.860939503,0,0,259183.800,2296,86368,0,1706.912198715
1900,19225803.9281,1434701.614618,-18712574.44189,0,0,0,2.371373790121,-0.2608933329719,27802580.56313,27906417.9615124,146649155.9843,-0.0003463451710281,0,0,0,5.72824192061,1.407022063289e-81,0,-0.4056797992151,-0.2610682679526,-10.77391225396,2.108282459985,1.289667189169,-12.77054740995,31677.5432414,-6028.036048636,0,0,259183.900,2296,86368,0,1806.914209424
2000,19225625.70911,1434848.2005,-18712744.15117,0,0,0,2.371374451512,-0.2608184458811,27801977.75032,27905815.1481449,146645988.1851,-0.0003463451712499,0,0,0,5.727624108541,1.406838230871e-81,0,-0.405666156954,-0.2609934293778,-10.77280572865,2.108252042818,1.289661401014,-12.76962027984,31677.86558859,-6028.097389266,0,0,259184.000,2296,86384,0,1906.916220193
2100,19225447.48932,1434994.788763,-18712913.8566,0,0,0,2.371375106808,-0.2607435566204,27801374.91999,27905212.3174989,146642820.2928,-0.0003463451714716,0,0,0,5.727233891662,1.406654372269e-81,0,-0.4056525193652,-0.2609185886676,-10.77169917176,2.108221654044,1.289655614301,-12.76869301703,31679.38310267,-6028.386162594,0,0,259184.100,2296,86384,0,2006.91823102
2200,19225269.26875,1435141.379407,-18713083.55819,0,0,0,2.37137575601,-0.2606686651898,27800772.07217,27904609.4693504,146639652.3085,-0.0003463451716934,0,0,0,5.726843748419,1.406470487507e-81,0,-0.4056388820799,-0.2608437457509,-10.77059258225,2.108191250628,1.289649829029,-12.76776562044,31680.30283754,-6028.56118232,0,0,259184.200,2296,86384,0,2106.920241905
2300,19225091.04738,1435287.972432,-18713253.25593,0,0,0,2.371376399116,-0.2605937715891,27800169.20684,27904006.6037029,146636484.2323,-0.0003463451719152,0,0,0,5.726453678842,1.406286576607e-81,0,-0.4056252461804,-0.260768900724,-10.76948596154,2.108160823625,1.2896440452,-12.76683809149,31681.22236686,-6028.736162931,0,0,259184.300,2296,86384,0,2206.922252848
2400,19224912.82522,1435434.567837,-18713422.94982,0,0,0,2.371377036127,-0.2605188758182,27799566.32402,27903403.72056,146633316.0641,-0.0003463451721369,0,0,0,5.726063682957,1.406102639593e-81,0,-0.4056116118189,-0.2606940536688,-10.76837931083,2.10813041949,1.289638262813,-12.76591043139,31682.14167104,-6028.9111007,0,0,259184.400,2296,86384,0,2306.92426385
2500,19224734.60227,1435581.165623,-18713592.63987,0,0,0,2.371377667042,-0.2604439778772,27798963.42371,27902800.8199253,146630147.8039,-0.0003463451723587,0,0,0,5.725673760793,1.405918676488e-81,0,-0.4055979791725,-0.2606192042634,-10.76727262538,2.108100022234,1.289632481867,-12.76498263536,31683.06085777,-6029.086016119,0,0,259184.500,2296,86384,0,2406.92627491
