utc_time,sat,constellation,jump_m,jump_cycles,dt_s
2026-06-24 06:17:20,G07,G,-0.298,-1.57,1
2026-06-24 06:17:20,G08,G,0.128,0.67,1
2026-06-24 06:17:20,G10,G,-0.268,-1.41,1
2026-06-24 06:17:20,G16,G,-0.698,-3.67,1
2026-06-24 06:17:20,G23,G,-0.591,-3.11,1
2026-06-24 06:17:20,G26,G,-0.699,-3.68,1
2026-06-24 06:17:20,G27,G,-0.292,-1.53,1
2026-06-24 06:17:20,G30,G,-0.081,-0.42,1
2026-06-24 06:17:20,G32,G,0.459,2.41,1
2026-06-24 06:18:46,G26,G,19.987,105.03,2
2026-06-24 06:18:56,G26,G,-0.961,-5.05,1
2026-06-24 06:19:06,G26,G,0.386,2.03,1
2026-06-24 06:19:08,G26,G,0.378,1.99,1
2026-06-24 06:22:47,E32,E,0.103,0.54,1
2026-06-24 06:24:54,G30,G,2.095,11.01,1
2026-06-24 06:24:56,G30,G,0.196,1.03,1
2026-06-24 06:25:01,G30,G,-0.574,-3.01,1
2026-06-24 06:25:06,G30,G,-3.806,-20.00,1
2026-06-24 06:25:07,G30,G,2.092,10.99,1
2026-06-24 06:25:08,G30,G,0.099,0.52,1
2026-06-24 06:25:13,G30,G,-0.090,-0.47,1
2026-06-24 06:25:18,G30,G,7.325,38.50,1
2026-06-24 06:25:19,G30,G,-0.095,-0.50,1
2026-06-24 06:25:24,G30,G,0.103,0.54,1
2026-06-24 06:25:25,G30,G,-0.101,-0.53,1
2026-06-24 06:25:27,G30,G,0.098,0.51,1
2026-06-24 06:25:28,G30,G,-5.518,-29.00,1
2026-06-24 06:25:33,G30,G,-3.904,-20.52,1
2026-06-24 06:25:34,G30,G,-0.189,-0.99,1
2026-06-24 06:25:35,G30,G,-1.714,-9.01,1
2026-06-24 06:25:36,G30,G,0.753,3.96,1
2026-06-24 06:25:37,G30,G,2.201,11.57,1
2026-06-24 06:25:38,G30,G,0.093,0.49,1
2026-06-24 06:25:40,G30,G,0.568,2.99,2
2026-06-24 06:25:43,G30,G,-0.096,-0.51,1
2026-06-24 06:25:49,G30,G,-0.086,-0.45,1
2026-06-24 06:25:53,G30,G,0.086,0.45,1
2026-06-24 06:26:05,G30,G,-8.454,-44.42,1
2026-06-24 06:26:06,G30,G,1.507,7.92,1
2026-06-24 06:26:13,G30,G,-0.186,-0.98,1
2026-06-24 06:26:27,G30,G,0.094,0.49,1
2026-06-24 06:26:31,G30,G,-0.096,-0.51,1
2026-06-24 06:27:18,E07,E,-0.097,-0.51,1
2026-06-24 06:27:37,G30,G,0.092,0.48,1
2026-06-24 06:27:43,G30,G,-0.099,-0.52,1
2026-06-24 06:27:58,G30,G,0.098,0.51,1
2026-06-24 06:28:01,G30,G,-0.096,-0.50,1
2026-06-24 06:28:23,G30,G,0.089,0.47,1
2026-06-24 06:28:25,G30,G,-0.092,-0.48,1
2026-06-24 06:28:33,G30,G,0.096,0.50,1
2026-06-24 06:28:35,G30,G,7.801,40.99,2
2026-06-24 06:28:37,G30,G,-0.107,-0.56,1
2026-06-24 06:28:41,G30,G,0.283,1.49,1
2026-06-24 06:28:43,G30,G,-0.098,-0.52,1
2026-06-24 06:28:50,G30,G,0.285,1.50,1
2026-06-24 06:28:51,G30,G,-0.185,-0.97,1
2026-06-24 06:28:53,G30,G,0.381,2.00,1
2026-06-24 06:28:55,G30,G,-0.113,-0.59,1
2026-06-24 06:29:44,E07,E,0.096,0.51,1
2026-06-24 06:31:18,G30,G,-0.668,-3.51,1
2026-06-24 06:31:19,G30,G,-0.097,-0.51,1
2026-06-24 06:34:29,G30,G,1.426,7.49,1
2026-06-24 06:34:31,G30,G,-0.095,-0.50,1
2026-06-24 06:35:11,E07,E,-0.094,-0.50,1
2026-06-24 06:35:21,G30,G,-0.189,-0.99,2
2026-06-24 06:35:53,G30,G,-2.469,-12.98,2
2026-06-24 06:35:56,G30,G,2.671,14.03,1
2026-06-24 06:36:15,G30,G,0.385,2.02,1
2026-06-24 06:37:07,G30,G,-0.187,-0.98,2
2026-06-24 06:37:08,G30,G,-0.959,-5.04,1
2026-06-24 06:37:13,G30,G,-2.658,-13.97,1
2026-06-24 06:37:15,G30,G,2.094,11.00,2
2026-06-24 06:37:19,G30,G,-1.708,-8.98,1
2026-06-24 06:37:31,G30,G,2.769,14.55,2
2026-06-24 06:37:33,G30,G,0.183,0.96,2
2026-06-24 06:37:37,G30,G,-0.102,-0.54,1
2026-06-24 06:37:38,G30,G,-2.936,-15.43,1
2026-06-24 06:37:40,G30,G,2.856,15.01,1
2026-06-24 06:37:43,G30,G,-0.100,-0.52,1
2026-06-24 06:38:14,G30,G,-0.966,-5.08,3
2026-06-24 06:38:16,G30,G,1.700,8.93,1
2026-06-24 06:38:17,G30,G,-2.669,-14.02,1
2026-06-24 06:38:20,G30,G,6.381,33.53,3
2026-06-24 06:38:25,G30,G,-0.093,-0.49,1
2026-06-24 06:38:29,G30,G,-7.320,-38.47,2
2026-06-24 06:38:31,G30,G,-0.087,-0.46,1
2026-06-24 06:38:38,G30,G,1.812,9.52,1
2026-06-24 06:38:43,G30,G,-0.092,-0.48,1
2026-06-24 06:38:46,G30,G,0.090,0.47,1
2026-06-24 06:38:47,G30,G,0.191,1.01,1
2026-06-24 06:38:49,G30,G,-0.113,-0.59,1
2026-06-24 06:38:50,G30,G,0.102,0.54,1
2026-06-24 06:38:54,G30,G,0.193,1.02,1
2026-06-24 06:38:55,G30,G,-0.386,-2.03,1
2026-06-24 06:39:01,G30,G,0.092,0.48,1
2026-06-24 06:39:03,G30,G,0.101,0.53,1
2026-06-24 06:39:04,G30,G,0.182,0.95,1
2026-06-24 06:39:19,G30,G,-0.110,-0.58,1
2026-06-24 06:39:26,G30,G,0.103,0.54,1
2026-06-24 06:39:32,G30,G,-2.864,-15.05,2
2026-06-24 06:39:34,G30,G,0.869,4.57,2
2026-06-24 06:39:40,G30,G,3.703,19.46,5
2026-06-24 06:39:42,G30,G,0.088,0.46,2
2026-06-24 06:39:43,G30,G,-2.284,-12.00,1
2026-06-24 06:39:49,G30,G,-0.099,-0.52,1
2026-06-24 06:39:53,C25,C,19.964,103.96,7
2026-06-24 06:39:54,G30,G,-0.096,-0.51,3
2026-06-24 06:39:55,G30,G,-0.092,-0.48,1
2026-06-24 06:40:02,G30,G,-1.235,-6.49,2
2026-06-24 06:40:03,G30,G,-0.761,-4.00,1
2026-06-24 06:40:07,G30,G,-1.903,-10.00,2
2026-06-24 06:40:08,G30,G,1.726,9.07,1
2026-06-24 06:40:09,G30,G,-0.086,-0.45,1
2026-06-24 06:40:18,G30,G,0.462,2.43,9
2026-06-24 06:40:20,G30,G,-1.329,-6.99,1
2026-06-24 06:40:23,G30,G,-0.193,-1.02,3
2026-06-24 06:40:26,G30,G,1.046,5.50,2
2026-06-24 06:40:29,G30,G,0.562,2.95,1
2026-06-24 06:40:31,G30,G,1.334,7.01,1
2026-06-24 06:40:32,G30,G,-0.176,-0.92,1
2026-06-24 06:40:34,G30,G,-0.377,-1.98,1
2026-06-24 06:40:44,G30,G,-0.193,-1.02,1
2026-06-24 06:40:45,C25,C,-0.799,-4.16,1
2026-06-24 06:40:47,G30,G,0.189,0.99,1
2026-06-24 06:40:50,G30,G,-0.567,-2.98,3
2026-06-24 06:40:53,G30,G,3.419,17.97,1
2026-06-24 06:40:54,C25,C,2.428,12.64,9
2026-06-24 06:40:55,G30,G,-0.100,-0.52,1
2026-06-24 06:40:57,C25,C,-0.084,-0.44,1
2026-06-24 06:40:57,G30,G,0.100,0.53,1
2026-06-24 06:41:01,G30,G,-0.097,-0.51,1
2026-06-24 06:41:16,C25,C,-3.063,-15.95,15
2026-06-24 06:41:22,C25,C,0.175,0.91,1
2026-06-24 06:41:50,G30,G,0.091,0.48,1
2026-06-24 06:41:55,G30,G,-0.098,-0.51,1
2026-06-24 06:42:03,G30,G,0.096,0.51,1
2026-06-24 06:42:07,G30,G,-0.095,-0.50,1
2026-06-24 06:42:28,G30,G,0.092,0.48,1
2026-06-24 06:42:31,G30,G,-0.095,-0.50,1
2026-06-24 06:42:36,G30,G,0.084,0.44,1
2026-06-24 06:42:43,G30,G,-0.095,-0.50,1
2026-06-24 06:42:45,G30,G,0.096,0.50,1
2026-06-24 06:42:49,G30,G,-0.103,-0.54,1
2026-06-24 06:44:01,G30,G,0.101,0.53,1
2026-06-24 06:44:07,G30,G,-0.094,-0.49,1
2026-06-24 06:44:11,G30,G,0.092,0.48,1
2026-06-24 06:44:22,G30,G,-0.377,-1.98,2
2026-06-24 06:44:23,G30,G,-1.143,-6.01,1
2026-06-24 06:44:24,G30,G,-0.293,-1.54,1
2026-06-24 06:44:28,G30,G,0.091,0.48,1
2026-06-24 06:45:19,G03,G,0.945,4.96,1
2026-06-24 06:45:20,G03,G,-1.712,-9.00,1
2026-06-24 06:45:21,G03,G,-0.190,-1.00,1
