Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,26513800.70725,-8434384.788155,-1896982.432581,0,0,0,1.600103970784,-0.1268521515387,27792948.30727,28077497.3382997,146206831.4052,-0.0009491324859439,0,0,0,6.270099566139,1.409592954948e-81,0,-1.177146996146,-0.1273126687773,-8.808655437812,-2.441359554488,1.292800697531,-15.22313202235,12484.99911998,-2397.612817585,0,0,259182.500,2296,86368,0,406.3435500492
600,26513824.74594,-8434379.078864,-1896672.43733,0,0,0,1.600071546661,-0.1268219182227,27792708.55484,28077257.5854178,146205582.9535,-0.0009491324858676,0,0,0,6.269668272037,1.409409491524e-81,0,-1.17716651817,-0.1272825847117,-8.808209672429,-2.4414451591,1.292799598455,-15.22268181521,12484.03440029,-2397.427553311,0,0,259182.600,2296,86368,0,506.3443497787
700,26513848.78125,-8434373.368823,-1896362.441729,0,0,0,1.600039116731,-0.1267916871071,27792468.82094,28077017.8510643,146204334.5983,-0.0009491324857914,0,0,0,6.269236994126,1.409226001592e-81,0,-1.177186041332,-0.1272525027334,-8.807763937974,-2.44153076845,1.29279849972,-15.22223162228,12483.0695836,-2397.24227041,0,0,259182.700,2296,86368,0,606.3451494465
800,26513872.81317,-8434367.65803,-1896052.44578,0,0,0,1.600006680994,-0.126761458192,27792229.10557,28076778.1352403,146203086.3396,-0.0009491324857152,0,0,0,6.268805732428,1.409042485176e-81,0,-1.177205565966,-0.1272224231727,-8.80731823934,-2.441616337994,1.292797401325,-15.22178144846,12482.10471842,-2397.056978196,0,0,259182.800,2296,86368,0,706.3459490524
900,26513896.84172,-8434361.946486,-1895742.449483,0,0,0,1.599974239449,-0.1267312314776,27791989.40874,28076538.4379474,146201838.1774,-0.0009491324856389,0,0,0,6.268374486966,1.408858942301e-81,0,-1.177225090113,-0.1271923457829,-8.806872572874,-2.441701946626,1.292796303272,-15.2213312901,12481.13965925,-2396.871648729,0,0,259182.900,2296,86368,0,806.3467485965
1000,26513920.86688,-8434356.23419,-1895432.452838,0,0,0,1.599941792096,-0.1267010069641,27791749.73043,28076298.7588549,146200590.1134,-0.0009491324855627,0,0,0,6.267611474309,1.408675372987e-81,0,-1.177244619243,-0.1271622706447,-8.806426939771,-2.441787539669,1.292795205558,-15.2208811484,12479.31076262,-2396.52042836,0,0,259183.000,2296,86368,0,906.3475480799
1100,26513944.88867,-8434350.521144,-1895122.455844,0,0,0,1.599909338935,-0.1266707846517,27791510.07066,28076059.0986279,146199342.1442,-0.0009491324854864,0,0,0,6.26718027918,1.40849177726e-81,0,-1.177264147857,-0.1271321975961,-8.80598133763,-2.44187317186,1.292794108186,-15.22043102097,12479.20947302,-2396.500976756,0,0,259183.100,2296,86368,0,1006.3483475
1200,26513968.90708,-8434344.807345,-1894812.458502,0,0,0,1.599876879966,-0.1266405645406,27791270.42942,28075819.4569359,146198094.2715,-0.0009491324854102,0,0,0,6.266749100364,1.408308155141e-81,0,-1.177283678083,-0.1271021268149,-8.805535769086,-2.441958788647,1.292793011154,-15.21998091043,12478.24421016,-2396.315608174,0,0,259183.200,2296,86368,0,1106.349146859
1300,26513992.9221,-8434339.092796,-1894502.460811,0,0,0,1.599844415189,-0.1266103466308,27791030.80672,28075579.8337802,146196846.4953,-0.0009491324853339,0,0,0,6.266317937885,1.408124506653e-81,0,-1.177303209172,-0.1270720581543,-8.805090231963,-2.44204435276,1.292791914463,-15.21953081462,12477.2790152,-2396.13025263,0,0,259183.300,2296,86368,0,1206.349946156
1400,26514016.93375,-8434333.377495,-1894192.462773,0,0,0,1.599811944603,-0.1265801309226,27790791.20255,28075340.2291622,146195598.8157,-0.0009491324852577,0,0,0,6.265886791765,1.407940831821e-81,0,-1.17732274195,-0.1270419918227,-8.80464472935,-2.442129961184,1.292790818112,-15.21908073664,12476.31360686,-2395.944856107,0,0,259183.400,2296,86368,0,1306.350745391
