Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-19400010.4542,1301543.411001,-20022194.62697,0,0,0,-2.340918082891,-0.01613112706166,26946761.2353,26964316.8935424,140410201.2289,-5.853606171202e-05,0,0,0,6.988415477006,1.409592954948e-81,0,1.1651892786,-0.01564963628428,-7.203989720026,0.7361811116886,1.290751934121,-13.48079431922,16334.81456691,-3136.929398403,0,0,259182.500,2296,86368,0,410.0567203277
600,-19400177.98788,1301387.708507,-20022042.47095,0,0,0,-2.340895755512,-0.01609064617021,26946447.55642,26964003.2140162,140408567.8226,-5.853606127495e-05,0,0,0,6.98790127003,1.409409491524e-81,0,1.165224471134,-0.01560899807349,-7.203460009489,0.7362746913537,1.290751747689,-13.48017534247,16333.31041194,-3136.640541255,0,0,259182.600,2296,86368,0,510.05776665
700,-19400345.52132,1301232.008286,-20021890.31126,0,0,0,-2.340873426749,-0.01605016856354,26946133.90643,26963689.5633801,140406934.5668,-5.853606083789e-05,0,0,0,6.987387079488,1.409226001592e-81,0,1.165259669633,-0.0155683630233,-7.202930340149,0.7363682811716,1.290751561744,-13.47955638414,16331.8059757,-3136.351630092,0,0,259182.700,2296,86368,0,610.0588128759
800,-19400513.0545,1301076.310341,-20021738.1479,0,0,0,-2.340851096604,-0.01600969424235,26945820.28534,26963375.9416393,140405301.4614,-5.853606040082e-05,0,0,0,6.986872905394,1.409042485176e-81,0,1.165294873876,-0.01552773147454,-7.202400716451,0.7364619011106,1.290751376285,-13.47893744867,16330.30110298,-3136.062635109,0,0,259182.800,2296,86368,0,710.0598590054
900,-19400680.58742,1300920.614669,-20021585.98086,0,0,0,-2.340828765076,-0.01596922320737,26945506.69314,26963062.348799,140403668.5066,-5.853605996375e-05,0,0,0,6.986358747758,1.408858942301e-81,0,1.165330085736,-0.01548710316949,-7.201871135033,0.7365555023904,1.290751191312,-13.47831853272,16328.79600719,-3135.773597285,0,0,259182.900,2296,86368,0,810.0609050385
1000,-19400848.1201,1300764.921271,-20021433.81016,0,0,0,-2.340806432167,-0.01592875545931,26945193.12985,26962748.784723,140402035.703,-5.853605952668e-05,0,0,0,6.985703210993,1.408675372987e-81,0,1.165365299774,-0.01544647820501,-7.201341597158,0.7366490965888,1.290751006826,-13.47769963755,16326.92255205,-3135.413819924,0,0,259183.000,2296,86368,0,910.0619509757
1100,-19401015.65251,1300609.230148,-20021281.63578,0,0,0,-2.340784097877,-0.01588829099888,26944879.59547,26962435.2496994,140400403.0492,-5.853605908962e-05,0,0,0,6.985189111574,1.40849177726e-81,0,1.165400521428,-0.01540585640156,-7.200812100488,0.7367427086424,1.290750822827,-13.47708076084,16325.78516574,-3135.195396841,0,0,259183.100,2296,86368,0,1010.062996816
1200,-19401183.18467,1300453.541299,-20021129.45773,0,0,0,-2.340761762206,-0.01584782982679,26944566.09001,26962121.7435919,140398770.546,-5.853605865255e-05,0,0,0,6.984675028658,1.408308155141e-81,0,1.165435748634,-0.01536523794777,-7.200282647479,0.7368363121153,1.290750639313,-13.47646190505,16324.27914851,-3134.906182066,0,0,259183.200,2296,86368,0,1110.06404256
1300,-19401350.71658,1300297.854725,-20020977.27601,0,0,0,-2.340739425155,-0.01580737194376,26944252.61347,26961808.2664058,140397138.1934,-5.853605821548e-05,0,0,0,6.984160962257,1.408124506653e-81,0,1.165470982089,-0.01532462269142,-7.199753236148,0.7369299367051,1.290750456285,-13.47584306822,16322.77301489,-3134.616944939,0,0,259183.300,2296,86368,0,1210.065088207
1400,-19401518.24823,1300142.170425,-20020825.09062,0,0,0,-2.340717086725,-0.01576691735051,26943939.16586,26961494.8181463,140395505.9914,-5.853605777842e-05,0,0,0,6.983646912383,1.407940831821e-81,0,1.165506221036,-0.01528401084922,-7.19922386932,0.7370235495557,1.290750273744,-13.47522425316,16321.26668729,-3134.327670559,0,0,259183.400,2296,86368,0,1310.066133758
1500,-19401685.77963,1299986.488399,-20020672.90156,0,0,0,-2.340694746916,-0.01572646604774,26943625.74717,26961181.3988185,140393873.94,-5.853605734135e-05,0,0,0,6.983132879049,1.407757130666e-81,0,1.165541467838,-0.01524340215662,-7.198694543546,0.7371171681818,1.290750091688,-13.47460545645,16319.75990381,-3134.038308635,0,0,259183.500,2296,86368,0,1410.067179212
1600,-19401853.31078,1299830.808647,-20020520.70883,0,0,0,-2.34067240573,-0.01568601803617,26943312.35743,26960868.0084278,140392242.0394,-5.853605690428e-05,0,0,0,6.982618862267,1.407573403213e-81,0,1.165576716398,-0.01520279693902,-7.198165263069,0.7372107823746,1.290749910117,-13.47398668234,16318.25295545,-3133.748915046,0,0,259183.600,2296,86368,0,1510.06822457
1700,-19402020.84166,1299675.13117,-20020368.51243,0,0,0,-2.340650063165,-0.01564557331652,26942998.99662,26960554.6469794,140390610.2894,-5.853605646722e-05,0,0,0,6.982104862049,1.407389649483e-81,0,1.165611972834,-0.0151621947586,-7.19763602218,0.7373043914461,1.290749729033,-13.47336792511,16316.74578401,-3133.459478617,0,0,259183.700,2296,86368,0,1610.069269831
1800,-19402188.3723,1299519.455967,-20020216.31236,0,0,0,-2.340627719224,-0.01560513188951,26942685.66477,26960241.3144785,140388978.6902,-5.853605603015e-05,0,0,0,6.981590878408,1.407205869501e-81,0,1.165647235056,-0.01512159603016,-7.197106826287,0.7373980383079,1.290749548433,-13.47274919021,16315.23831189,-3133.169984445,0,0,259183.800,2296,86368,0,1710.070314996
1900,-19402355.90267,1299363.783039,-20020064.10862,0,0,0,-2.340605373907,-0.01556469375583,26942372.36187,26959928.0109302,140387347.2418,-5.853605559308e-05,0,0,0,6.981076911356,1.407022063289e-81,0,1.165682503474,-0.01508100048933,-7.196577671944,0.7374916668842,1.29074936832,-13.47213047417,16313.730413,-3132.880408317,0,0,259183.900,2296,86368,0,1810.071360064
2000,-19402523.4328,1299208.112385,-20019911.9012,0,0,0,-2.340583027214,-0.01552425891621,26942059.08792,26959614.7361985,140385715.9449,-5.853605515601e-05,0,0,0,6.980421804538,1.406838230871e-81,0,1.165717778801,-0.01504040828382,-7.196048561076,0.7375852879262,1.290749188691,-13.47151177895,16311.85494042,-3132.520243526,0,0,259184.000,2296,86384,0,1910.072405036
2100,-19402690.96267,1299052.444005,-20019759.69012,0,0,0,-2.340560679146,-0.01548382737136,26941745.84294,26959301.4905713,140384084.798,-5.853605471895e-05,0,0,0,6.979907896026,1.406654372269e-81,0,1.165753056879,-0.01499981938924,-7.195519493365,0.7376789198782,1.290749009547,-13.47089310422,16310.71414966,-3132.301166654,0,0,259184.100,2296,86384,0,2010.073449911
2200,-19402858.49228,1298896.7779,-20019607.47536,0,0,0,-2.340538329703,-0.01544339912201,26941432.62692,26958988.2739123,140382453.8021,-5.853605428188e-05,0,0,0,6.979394004146,1.406470487507e-81,0,1.165788342068,-0.01495923376969,-7.194990468344,0.7377725595689,1.290748830889,-13.47027444954,16309.20556212,-3132.011458278,0,0,259184.200,2296,86384,0,2110.07449469
2300,-19403026.02164,1298741.11407,-20019455.25694,0,0,0,-2.340515978887,-0.01540297416885,26941119.43988,26958675.0862269,140380822.957,-5.853605384481e-05,0,0,0,6.978880128911,1.406286576607e-81,0,1.165823633297,-0.01491865146865,-7.194461486579,0.7378661993812,1.290748652715,-13.46965581548,16307.6966739,-3131.72169216,0,0,259184.300,2296,86384,0,2210.075539371
2400,-19403193.55074,1298585.452514,-20019303.03484,0,0,0,-2.340493626698,-0.01536255251261,26940806.28182,26958361.9275202,140379192.2627,-5.853605340775e-05,0,0,0,6.978366270333,1.406102639593e-81,0,1.165858930424,-0.0148780725223,-7.193932548541,0.7379598394783,1.290748475026,-13.46903720251,16306.1875626,-3131.431883201,0,0,259184.400,2296,86384,0,2310.076583956
2500,-19403361.07959,1298429.793232,-20019150.80907,0,0,0,-2.340471273135,-0.01532213415399,26940493.15274,26958048.7977975,140377561.7195,-5.853605297068e-05,0,0,0,6.977852428424,1.405918676488e-81,0,1.165894233231,-0.01483749679358,-7.193403652444,0.7380534949116,1.290748297822,-13.46841860886,16304.67815062,-3131.1420165,0,0,259184.500,2296,86384,0,2410.077628445
2600,-19403528.60818,1298274.136225,-20018998.57963,0,0,0,-2.340448918201,-0.01528171909372,26940180.05265,26957735.697064,140375931.3271,-5.853605253361e-05,0,0,0,6.977338603196,1.405734687315e-81,0,1.165929543542,-0.01479692417518,-7.19287479689,0.7381471376199,1.290748121103,-13.46780003315,16303.16845737,-3130.852095783,0,0,259184.600,2296,86384,0,2510.078672836
2700,-19403696.13651,1298118.481493,-20018846.34653,0,0,0,-2.340426561896,-0.01524130733251,26939866.98156,26957422.6253249,140374301.0858,-5.853605209654e-05,0,0,0,6.976824794662,1.405550672097e-81,0,1.165964856236,-0.01475635523311,-7.192345989257,0.7382407736326,1.290747944867,-13.46718148275,16301.65852163,-3130.562128499,0,0,259184.700,2296,86384,0,2610.079717131
2800,-19403863.6646,1297962.829035,-20018694.10975,0,0,0,-2.340404204219,-0.01520089887107,26939553.93947,26957109.5825854,140372670.9954,-5.853605165948e-05,0,0,0,6.976311002835,1.405366630856e-81,0,1.166000176306,-0.0147157893453,-7.191817221434,0.73833444619,1.290747769117,-13.46656294957,16300.14833371,-3130.272112787,0,0,259184.800,2296,86384,0,2710.080761329
2900,-19404031.19242,1297807.178851,-20018541.8693,0,0,0,-2.340381845173,-0.01516049371012,26939240.92638,26956796.5688507,140371041.0561,-5.853605122241e-05,0,0,0,6.975797227726,1.405182563617e-81,0,1.166035501899,-0.01467522665446,-7.191288495284,0.7384281010656,1.29074759385,-13.46594443548,16298.63779661,-3129.982030019,0,0,259184.900,2296,86384,0,2810.081805431
3000,-19404198.71999,1297651.530942,-20018389.62518,0,0,0,-2.340359484757,-0.01512009185037,26938927.9423,26956483.5839851,140369411.2686,-5.853605078534e-05,0,0,0,6.975142552887,1.404998470403e-81,0,1.166070833952,-0.01463466757632,-7.190759816224,0.7385217599006,1.290747419068,-13.46532594591,16296.7600932,-3129.621436819,0,0,259185.000,2296,86384,0,2910.082849436
3100,-19404366.2473,1297495.885308,-20018237.37739,0,0,0,-2.340337122972,-0.01507969329253,26938614.98723,26956170.6282758,140367781.6315,-5.853605034827e-05,0,0,0,6.974628836641,1.404814351235e-81,0,1.166106173086,-0.01459411147372,-7.19023117595,0.7386154170533,1.290747244769,-13.46470747255,16295.61601438,-3129.401728511,0,0,259185.100,2296,86384,0,3010.083893344
3200,-19404533.77436,1297340.241949,-20018085.12593,0,0,0,-2.340314759818,-0.01503929803733,26938302.06119,26955857.7015869,140366152.1454,-5.853604991121e-05,0,0,0,6.974115137156,1.404630206138e-81,0,1.16614151498,-0.01455355888108,-7.189702581428,0.7387090747313,1.290747070955,-13.46408902239,16294.10471104,-3129.111498594,0,0,259185.200,2296,86384,0,3110.084937155
3300,-19404701.30117,1297184.600864,-20017932.8708,0,0,0,-2.340292395297,-0.01499890608547,26937989.16417,26955544.8039236,140364522.8105,-5.853604947414e-05,0,0,0,6.973601454445,1.404446035135e-81,0,1.166176864037,-0.01451300959547,-7.189174030012,0.7388027529638,1.290746897624,-13.46347059279,16292.59306823,-3128.821203485,0,0,259185.300,2296,86384,0,3210.085980869
3400,-19404868.82771,1297028.962053,-20017780.612,0,0,0,-2.340270029409,-0.01495851743766,26937676.29618,26955231.9352913,140362893.6268,-5.853604903707e-05,0,0,0,6.973087788521,1.404261838247e-81,0,1.166212218821,-0.01447246346714,-7.18864551975,0.7388964119184,1.290746724777,-13.4628521818,16291.08124113,-3128.530872986,0,0,259185.400,2296,86384,0,3310.087024486
3500,-19405036.354,1296873.325518,-20017628.34952,0,0,0,-2.340247662154,-0.01491813209464,26937363.45723,26954919.095695,140361264.5943,-5.85360486e-05,0,0,0,6.972574139395,1.4040776155e-81,0,1.166247579456,-0.01443192064817,-7.188117052625,0.738990092502,1.290746552413,-13.46223379142,16289.56913275,-3128.24048847,0,0,259185.500,2296,86384,0,3410.088068007
3600,-19405203.88004,1296717.691257,-20017476.08338,0,0,0,-2.340225293533,-0.0148777500571,26937050.64732,26954606.2851401,140359635.713,-5.853604816294e-05,0,0,0,6.972060507079,1.403893366915e-81,0,1.166282946286,-0.01439138119254,-7.187588629341,0.7390837633279,1.290746380533,-13.46161542236,16288.056714,-3127.950044349,0,0,259185.600,2296,86384,0,3510.089111431
