Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-13862007.24498,-9825386.20681,22138358.65835,0,0,0,-0.4547625426275,-0.07485334931195,27402528.8904,27671180.8464553,144091004.2884,-0.0008960957769079,0,0,0,9.200488791142,1.409592954948e-81,0,3.05133522479,-0.07483718116172,-8.033482890581,0.498542082961,1.291493675825,-14.4088501226,-32556.94557095,6252.219103277,0,0,259182.500,2296,86368,0,407.6988759789
600,-13861943.5778,-9825631.222142,22138289.95112,0,0,0,-0.4547665170572,-0.07493288456083,27403154.11043,27671806.0659938,144094259.9739,-0.0008960957763429,0,0,0,9.200169746585,1.409409491524e-81,0,3.051344170167,-0.07491671555986,-8.034646187672,0.4985453020409,1.291495389543,-14.41010272286,-32556.76497032,6252.184420824,0,0,259182.600,2296,86368,0,507.696790471
700,-13861879.91238,-9825876.237124,22138221.23982,0,0,0,-0.4547704957063,-0.0750124180679,27403779.32698,27672431.2820594,144097515.6414,-0.0008960957757779,0,0,0,9.199850610406,1.409226001592e-81,0,3.051353115937,-0.07499624852106,-8.035809463746,0.4985485141939,1.291497105037,-14.41135518365,-32556.58403021,6252.149673179,0,0,259182.700,2296,86368,0,607.6947049747
800,-13861816.24873,-9826121.251755,22138152.52446,0,0,0,-0.454774478575,-0.07509194983326,27404404.54006,27673056.494648,144100771.2907,-0.0008960957752129,0,0,0,9.199531382622,1.409042485176e-81,0,3.051362061871,-0.07507577918756,-8.036972706257,0.4985517229339,1.291498822307,-14.41260749242,-32556.40289612,6252.114888281,0,0,259182.800,2296,86368,0,707.69261949
900,-13861752.58685,-9826366.266035,22138083.80504,0,0,0,-0.4547784656636,-0.07517147985704,27405029.74966,27673681.7037558,144104026.9219,-0.000896095774648,0,0,0,9.199212063252,1.408858942301e-81,0,3.051371009848,-0.07515530820592,-8.038135924661,0.4985549361644,1.291500541352,-14.41385965865,-32556.22150984,6252.080054954,0,0,259182.900,2296,86368,0,807.6905340169
1000,-13861688.92674,-9826611.279964,22138015.08156,0,0,0,-0.4547824569723,-0.07525100813936,27405654.95577,27674306.9091117,144107282.5364,-0.000896095774083,0,0,0,9.198625590162,1.408675372987e-81,0,3.051379954427,-0.07523483535071,-8.039299115662,0.4985581445649,1.291502262174,-14.41511167904,-32556.73529051,6252.17872113,0,0,259183.000,2296,86368,0,907.6884485563
1100,-13861625.2684,-9826856.293542,22137946.35403,0,0,0,-0.4547864525013,-0.07533053468032,27406280.15839,27674932.1112458,144110538.1313,-0.000896095773518,0,0,0,9.198306077396,1.40849177726e-81,0,3.051388901051,-0.07531436105999,-8.040462285666,0.498561356578,1.291503984771,-14.41636356,-32555.85822323,6252.01028958,0,0,259183.100,2296,86368,0,1007.686363106
1200,-13861561.61183,-9827101.30677,22137877.62243,0,0,0,-0.4547904522509,-0.07541005948006,27406905.35752,27675557.3098871,144113793.708,-0.000896095772953,0,0,0,9.1979864731,1.408308155141e-81,0,3.051397847651,-0.07539388486594,-8.041625427832,0.4985645643931,1.291505709143,-14.41761529471,-32555.67609011,6251.975312829,0,0,259183.200,2296,86368,0,1107.684277668
1300,-13861497.95702,-9827346.319646,22137808.88677,0,0,0,-0.4547944562213,-0.07548958253868,27407530.55316,27676182.5050316,144117049.2665,-0.0008960957723881,0,0,0,9.197666777294,1.408124506653e-81,0,3.051406794927,-0.07547340715261,-8.042788547777,0.4985677646074,1.291507435291,-14.41886688878,-32555.49399579,6251.940343529,0,0,259183.300,2296,86368,0,1207.682192242
1400,-13861434.30399,-9827591.332172,22137740.14705,0,0,0,-0.4547984644129,-0.0755691038563,27408155.74529,27676807.6966754,144120304.8068,-0.0008960957718231,0,0,0,9.197346989994,1.407940831821e-81,0,3.051415742122,-0.07555292737709,-8.043951637559,0.4985709721826,1.291509163214,-14.42011833429,-32555.31160079,6251.905316487,0,0,259183.400,2296,86368,0,1307.680106827
