Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,13794375.63228,-21320175.75142,-11613776.80908,0,0,0,1.915385016575,0.6322799039364,22661378.56972,22395108.4629729,116617171.4665,0.000888192746119,0,0,0,3.37979454707,7.472968426868e-83,0,-0.8609834280545,0.6319118347003,-0.5691178270957,2.342495615563,1.346024205454,-1.973637479848,18192.52504818,-3493.683164939,0,0,259182.500,2296,86368,0,425.2979590868
600,13794357.03498,-21320043.73008,-11614041.05242,0,0,0,1.915312047485,0.6323473194783,22661029.21941,22394759.1123778,116615352.3109,0.0008881927455942,0,0,0,3.379352081279,7.471313509981e-83,0,-0.8610431478724,0.6319791130782,-0.5685396120299,2.342405724871,1.34603549807,-1.97252774136,18190.58727711,-3493.311036378,0,0,259182.600,2296,86368,0,525.299124395
700,13794338.43781,-21319911.70569,-11614305.29363,0,0,0,1.91523906341,0.6324147323809,22660679.90631,22394409.7989975,116613533.3491,0.0008881927450694,0,0,0,3.378909678716,7.469658814815e-83,0,-0.8611028781617,0.6320463889982,-0.5679614180878,2.342315797522,1.346046791254,-1.9714180162,18188.64931205,-3492.938870564,0,0,259182.700,2296,86368,0,625.300289579
800,13794319.84078,-21319779.67826,-11614569.53271,0,0,0,1.915166064345,0.6324821426429,22660330.63043,22394060.5228361,116611714.581,0.0008881927445446,0,0,0,3.378467339382,7.468004341408e-83,0,-0.86116261868,0.6321136618982,-0.5673832501013,2.342225850537,1.346058085006,-1.970308309215,18186.71118211,-3492.566673085,0,0,259182.800,2296,86368,0,725.3014546389
900,13794301.24388,-21319647.64779,-11614833.76966,0,0,0,1.91509305029,0.6325495502632,22659981.39178,22393711.2838974,116609896.0068,0.0008881927440199,0,0,0,3.378025063282,7.466350089792e-83,0,-0.8612223679081,0.6321809321981,-0.5668051044604,2.342135892108,1.346069379324,-1.96919861681,18184.77279998,-3492.194427177,0,0,259182.900,2296,86368,0,825.3026195746
1000,13794282.64711,-21319515.61428,-11615098.00449,0,0,0,1.915020021241,0.6326169552405,22659632.19035,22393362.0820532,116608077.6272,0.0008881927434951,0,0,0,3.377450679089,7.464696059997e-83,0,-0.8612821311616,0.6322481997543,-0.5662269824005,2.342045954036,1.346080674209,-1.968088940237,18182.49000605,-3491.756040603,0,0,259183.000,2296,86368,0,925.3037843866
1100,13794264.05048,-21319383.57773,-11615362.23718,0,0,0,1.914946977196,0.6326843575738,22659283.02616,22393012.9175718,116606259.4407,0.0008881927429703,0,0,0,3.377008545689,7.46304225206e-83,0,-0.8613419032444,0.6323154648469,-0.5656488815126,2.341955992584,1.346091969661,-1.966979277101,18180.89537618,-3491.449808702,0,0,259183.100,2296,86368,0,1025.304949074
1200,13794245.45398,-21319251.53814,-11615626.46775,0,0,0,1.914873918154,0.6327517572618,22658933.89919,22392663.7903249,116604441.4481,0.0008881927424455,0,0,0,3.37656647553,7.461388666011e-83,0,-0.8614016859676,0.6323827271708,-0.5650708044211,2.341866031542,1.346103265679,-1.965869630042,18178.9563636,-3491.077441722,0,0,259183.200,2296,86368,0,1125.306113637
1300,13794226.85762,-21319119.49551,-11615890.6962,0,0,0,1.914800844111,0.6328191543033,22658584.80947,22392314.7003166,116602623.6494,0.0008881927419207,0,0,0,3.376124468612,7.459735301882e-83,0,-0.8614614788452,0.6324499869751,-0.5644927489837,2.341776011171,1.346114562262,-1.964759996932,18177.01713763,-3490.705033764,0,0,259183.300,2296,86368,0,1225.307278076
1400,13794208.26139,-21318987.44983,-11616154.92252,0,0,0,1.914727755065,0.6328865486972,22658235.75699,22391965.6475508,116600806.0447,0.0008881927413959,0,0,0,3.375682524939,7.458082159709e-83,0,-0.8615212823381,0.6325172439042,-0.5639147182566,2.341686006934,1.346125859411,-1.963650380845,18175.07780498,-3490.332605317,0,0,259183.400,2296,86368,0,1325.308442391
1500,13794189.66529,-21318855.40112,-11616419.1467,0,0,0,1.914654651015,0.6329539404423,22657886.74175,22391616.6320314,116598988.6339,0.0008881927408711,0,0,0,3.375240644513,7.456429239522e-83,0,-0.8615810944496,0.632584498388,-0.5633367085455,2.341596009388,1.346137157124,-1.962540778099,18173.13812315,-3489.960109815,0,0,259183.500,2296,86368,0,1425.309606581
1600,13794171.06933,-21318723.34937,-11616683.36877,0,0,0,1.914581531958,0.6330213295374,22657537.76377,22391267.6537623,116597171.4171,0.0008881927403464,0,0,0,3.374798827336,7.454776541358e-83,0,-0.861640920837,0.6326517499072,-0.5627587243129,2.341506002925,1.346148455402,-1.961431193175,18171.19823763,-3489.587575197,0,0,259183.600,2296,86368,0,1525.310770647
1700,13794152.4735,-21318591.29457,-11616947.5887,0,0,0,1.91450839789,0.6330887159813,22657188.82304,22390918.7127476,116595354.3942,0.0008881927398216,0,0,0,3.37435707341,7.453124065244e-83,0,-0.8617007559812,0.6327189991667,-0.562180759501,2.341415983059,1.346159754245,-1.960321620028,18169.25821633,-3489.215014502,0,0,259183.700,2296,86368,0,1625.311934589
1800,13794133.8778,-21318459.23674,-11617211.80651,0,0,0,1.914435248812,0.6331560997728,22656839.91957,22390569.8089911,116593537.5654,0.0008881927392968,0,0,0,3.373915382738,7.451471811221e-83,0,-0.8617606014065,0.6327862454876,-0.5616028199444,2.341325911967,1.346171053651,-1.959212064508,18167.31804953,-3488.842425868,0,0,259183.800,2296,86368,0,1725.313098407
1900,13794115.28224,-21318327.17586,-11617476.02218,0,0,0,1.914362084718,0.6332234809108,22656491.05336,22390220.9424968,116591720.9306,0.000888192738772,0,0,0,3.373473755322,7.449819779314e-83,0,-0.8618204570685,0.6328534893054,-0.5610249019008,2.341235872533,1.34618235362,-1.95810252289,18165.37760146,-3488.469783217,0,0,259183.900,2296,86368,0,1825.3142621
2000,13794096.68682,-21318195.11195,-11617740.23573,0,0,0,1.914288905609,0.6332908593941,22656142.22441,22389872.1131365,116589904.4906,0.0008881927382472,0,0,0,3.372900175906,7.448167969559e-83,0,-0.861880322054,0.6329207303739,-0.5604470074853,2.341145805054,1.346193654152,-1.956992997302,18163.09328474,-3488.031104207,0,0,259184.000,2296,86384,0,1925.31542567
2100,13794078.09152,-21318063.04499,-11618004.44716,0,0,0,1.91421571148,0.6333582352215,22655793.43274,22389523.3211785,116588088.2439,0.0008881927377224,0,0,0,3.372458691243,7.446516381993e-83,0,-0.8619402005593,0.6329879687459,-0.5598691362451,2.341055765718,1.346204955248,-1.955883487308,18161.49612336,-3487.724386156,0,0,259184.100,2296,86384,0,2025.316589115
2200,13794059.49636,-21317930.975,-11618268.65645,0,0,0,1.914142502331,0.6334256083918,22655444.67834,22389174.5664943,116586272.1914,0.0008881927371976,0,0,0,3.372017269843,7.444865016642e-83,0,-0.8620000882745,0.6330552044676,-0.5592912877822,2.340965672155,1.346216256905,-1.954773992525,18159.55514182,-3487.351641059,0,0,259184.200,2296,86384,0,2125.317752435
2300,13794040.90134,-21317798.90196,-11618532.86362,0,0,0,1.914069278158,0.6334929789038,22655095.96122,22388825.8490883,116584456.3329,0.0008881927366729,0,0,0,3.371575911708,7.443213873541e-83,0,-0.8620599862134,0.6331224374703,-0.5587134626871,2.340875567374,1.346227559124,-1.953664513559,18157.61384991,-3486.978836358,0,0,259184.300,2296,86384,0,2225.318915631
2400,13794022.30645,-21317666.82588,-11618797.06866,0,0,0,1.913996038959,0.6335603467564,22654747.28138,22388477.1689641,116582640.6686,0.0008881927361481,0,0,0,3.371134616841,7.441562952728e-83,0,-0.8621198944707,0.6331896676948,-0.5581356614692,2.340785457364,1.346238861905,-1.952555050935,18155.67235432,-3486.605992541,0,0,259184.400,2296,86384,0,2325.320078703
2500,13794003.7117,-21317534.74676,-11619061.27157,0,0,0,1.913922784732,0.6336277119483,22654398.63882,22388128.5261257,116580825.1985,0.0008881927356233,0,0,0,3.370693385245,7.439912254226e-83,0,-0.8621798134576,0.6332568953681,-0.5575578821772,2.340695342923,1.346250165247,-1.951445602716,18153.73077143,-3486.23313196,0,0,259184.500,2296,86384,0,2425.32124165
2600,13793985.11707,-21317402.66461,-11619325.47236,0,0,0,1.913849515475,0.6336950744784,22654050.03356,22387779.9205772,116579009.9225,0.0008881927350985,0,0,0,3.37025221692,7.438261778077e-83,0,-0.8622397414971,0.633324120662,-0.5569801233351,2.340605243525,1.34626146915,-1.950336167442,18151.78887816,-3485.860211775,0,0,259184.600,2296,86384,0,2525.322404473
2700,13793966.52259,-21317270.57941,-11619589.67101,0,0,0,1.913776231184,0.6337624343455,22653701.46559,22387431.3523224,116577194.8407,0.0008881927345737,0,0,0,3.36981111187,7.436611524309e-83,0,-0.8622996829387,0.6333913426568,-0.5564023928463,2.340515105644,1.346272773613,-1.949226753031,18149.84680061,-3485.487256199,0,0,259184.700,2296,86384,0,2625.323567172
2800,13793947.92824,-21317138.49117,-11619853.86754,0,0,0,1.913702931859,0.6338297915484,22653352.93491,22387082.8213653,116575379.9531,0.0008881927340489,0,0,0,3.369370070097,7.434961492956e-83,0,-0.8623596336455,0.6334585623651,-0.5558246820079,2.340424941384,1.346284078636,-1.948117350797,18147.90443208,-3485.114244744,0,0,259184.800,2296,86384,0,2725.324729746
2900,13793929.33402,-21317006.39989,-11620118.06194,0,0,0,1.913629617497,0.633897146086,22653004.44154,22386734.3277098,116573565.2598,0.0008881927335241,0,0,0,3.368929091602,7.433311684051e-83,0,-0.8624195952766,0.6335257795569,-0.5552469927983,2.340334779655,1.346295384218,-1.947007962732,18145.96195685,-3484.7412128,0,0,259184.900,2296,86384,0,2825.325892195
3000,13793910.73994,-21316874.30557,-11620382.25421,0,0,0,1.913556288095,0.633964497957,22652655.98548,22386385.871228,116571750.7614,0.0008881927329993,0,0,0,3.368356317268,7.431662097627e-83,0,-0.8624795663244,0.6335929935424,-0.5546693311443,2.340244629831,1.34630669036,-1.94589859478,18143.67599126,-3484.302217141,0,0,259185.000,2296,86384,0,2925.327054521
3100,13793892.14599,-21316742.20822,-11620646.44435,0,0,0,1.91348294365,0.6340318471602,22652307.56672,22386037.4521877,116569936.4567,0.0008881927324746,0,0,0,3.367915481578,7.430012733716e-83,0,-0.8625395470486,0.6336602053724,-0.5540916880156,2.340154459936,1.346317997061,-1.944789237924,18142.07638565,-3483.995029703,0,0,259185.100,2296,86384,0,3025.328216722
3200,13793873.55217,-21316610.10782,-11620910.63237,0,0,0,1.913409584162,0.6340991936945,22651959.18527,22385689.0704608,116568122.3462,0.0008881927319498,0,0,0,3.367474709175,7.428363592347e-83,0,-0.8625995410403,0.6337274141769,-0.5535140708884,2.340064288202,1.346329304321,-1.943679899658,18140.13324118,-3483.621869236,0,0,259185.200,2296,86384,0,3125.329378798
3300,13793854.95849,-21316478.00438,-11621174.81825,0,0,0,1.913336209627,0.6341665375587,22651610.84115,22385340.7260512,116566308.43,0.000888192731425,0,0,0,3.36703400006,7.426714673561e-83,0,-0.8626595441744,0.6337946202781,-0.5529364769952,2.339974059513,1.346340612138,-1.942570577227,18138.18988332,-3483.248667791,0,0,259185.300,2296,86384,0,3225.33054075
3400,13793836.36495,-21316345.8979,-11621439.00201,0,0,0,1.913262820043,0.6342338787515,22651262.53434,22384992.418963,116564494.7082,0.0008881927309002,0,0,0,3.366593354235,7.425065977384e-83,0,-0.8627195580987,0.6338618239276,-0.5523589041727,2.339883857351,1.346351920514,-1.941461268485,18136.24637998,-3482.875438407,0,0,259185.400,2296,86384,0,3325.331702578
3500,13793817.77154,-21316213.78838,-11621703.18364,0,0,0,1.913189415407,0.6343012172719,22650914.26486,22384644.1492001,116562681.1807,0.0008881927303754,0,0,0,3.366152771703,7.42341750385e-83,0,-0.8627795824808,0.6339290248737,-0.5517813545837,2.339793636177,1.346363229446,-1.94035197561,18134.30266324,-3482.502168044,0,0,259185.500,2296,86384,0,3425.33286428
3600,13793799.17827,-21316081.67582,-11621967.36314,0,0,0,1.913115995718,0.6343685531186,22650566.03271,22384295.9167665,116560867.8476,0.0008881927298506,0,0,0,3.365712252467,7.421769252993e-83,0,-0.862839616904,0.6339962230263,-0.5512038290034,2.339703419266,1.346374538936,-1.939242699393,18132.35883012,-3482.12887533,0,0,259185.600,2296,86384,0,3525.334025859
3700,13793780.58513,-21315949.56022,-11622231.54051,0,0,0,1.913042560973,0.6344358862904,22650217.8379,22383947.721666,116559054.709,0.0008881927293258,0,0,0,3.365271796528,7.420121224845e-83,0,-0.8628996601586,0.6340634183684,-0.5506263275776,2.339613189329,1.346385848983,-1.938133439993,18130.41467692,-3481.755521148,0,0,259185.700,2296,86384,0,3625.335187313
3800,13793761.99212,-21315817.44158,-11622495.71576,0,0,0,1.912969111169,0.6345032167862,22649869.68042,22383599.5639026,116557241.7647,0.000888192728801,0,0,0,3.364831403889,7.418473419438e-83,0,-0.862959718019,0.634130611452,-0.5500488455624,2.339522907204,1.346397159585,-1.937024192684,18128.47033944,-3481.382131577,0,0,259185.800,2296,86384,0,3725.336348642
3900,13793743.39925,-21315685.3199,-11622759.88887,0,0,0,1.912895646306,0.6345705446048,22649521.56028,22383251.4434802,116555429.0149,0.0008881927282763,0,0,0,3.364391074551,7.416825836808e-83,0,-0.8630197843355,0.6341978013407,-0.5494713910055,2.339432652612,1.346408470744,-1.935914965528,18126.52576917,-3481.008697301,0,0,259185.900,2296,86384,0,3825.337509847
4000,13793724.80652,-21315553.19518,-11623024.05986,0,0,0,1.912822166379,0.6346378697449,22649173.47748,22382903.3602711,116553616.4603,0.0008881927277515,0,0,0,3.363819105601,7.415178476985e-83,0,-0.8630798611446,0.6342649886164,-0.548893958905,2.339342378854,1.346419782458,-1.934805753538,18124.23817409,-3480.569388717,0,0,259186.000,2296,86384,0,3925.338670927
4100,13793706.21392,-21315421.06742,-11623288.22872,0,0,0,1.912748671386,0.6347051922054,22648825.43204,22382555.3145427,116551804.0994,0.0008881927272267,0,0,0,3.363378919119,7.413531339997e-83,0,-0.8631399484833,0.6343321734091,-0.5483165481451,2.339252128071,1.346431094727,-1.933696555615,18122.63611457,-3480.26173003,0,0,259186.100,2296,86384,0,4025.339831883
4200,13793687.62146,-21315288.93662,-11623552.39545,0,0,0,1.912675161327,0.634772511985,22648477.42394,22382207.3061672,116549991.933,0.0008881927267019,0,0,0,3.362938795946,7.411884425882e-83,0,-0.8632000464446,0.6343993552574,-0.5477391626895,2.339161826998,1.346442407551,-1.932587375736,18120.69097204,-3479.888185859,0,0,259186.200,2296,86384,0,4125.340992714
4300,13793669.02913,-21315156.80278,-11623816.56005,0,0,0,1.912601636197,0.6348398290827,22648129.45321,22381859.3351485,116548179.9612,0.0008881927261771,0,0,0,3.362498736084,7.410237734672e-83,0,-0.8632601531071,0.6344665345189,-0.547161799466,2.339071510671,1.346453720929,-1.931478210846,18118.74558704,-3479.514595121,0,0,259186.300,2296,86384,0,4225.34215342
