Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-22657884.551,-4984921.478199,-15515975.19951,0,0,0,-2.101258644529,0.1926534860861,25386094.05623,25667378.722996,133656714.5044,-0.0009382447604729,0,0,0,5.96382255812,2.244157735035e-82,0,1.404577417018,0.1931625266514,-4.783506165885,-0.7934064276662,1.296037748828,-10.20126141456,7263.437262931,-1394.86676082,0,0,259182.500,2296,86368,0,414.3828404016
600,-22657715.6392,-4984976.082645,-15516203.9779,0,0,0,-2.101233454694,0.1926729512477,25385954.57824,25667239.2445292,133655988.2091,-0.0009382447606672,0,0,0,5.963284125801,2.243654184715e-82,0,1.40461541818,0.1931821538345,-4.783273865003,-0.7933074050376,1.296038818109,-10.20091034607,7262.470166913,-1394.681040198,0,0,259182.600,2296,86368,0,514.3833056516
700,-22657546.72525,-4985030.688906,-15516432.75344,0,0,0,-2.101208265427,0.1926924140008,25385815.11883,25667099.7846355,133655262.0104,-0.0009382447608616,0,0,0,5.962745731714,2.243150713173e-82,0,1.404653423441,0.1932017786603,-4.783041592021,-0.7932083924111,1.296039887363,-10.20055931328,7261.502935105,-1394.495293498,0,0,259182.700,2296,86368,0,614.3837708398
800,-22657377.80914,-4985085.296981,-15516661.52615,0,0,0,-2.101183076727,0.192711874345,25385675.67799,25666960.3433175,133654535.9085,-0.0009382447610559,0,0,0,5.962207375872,2.242647320412e-82,0,1.404691432401,0.1932214009856,-4.782809348633,-0.7931094035179,1.296040956593,-10.2002083179,7260.535567506,-1394.309520721,0,0,259182.800,2296,86368,0,714.3842359659
900,-22657208.89089,-4985139.906871,-15516890.296,0,0,0,-2.101157888595,0.1927313322797,25385536.25573,25666820.9205782,133653809.9033,-0.0009382447612502,0,0,0,5.961669058285,2.242144006436e-82,0,1.404729447069,0.1932410209199,-4.782577133546,-0.7930103918968,1.296042025796,-10.19985735863,7259.568025321,-1394.123714417,0,0,259182.900,2296,86368,0,814.3847010301
1000,-22657039.97048,-4985194.518576,-15517119.06301,0,0,0,-2.101132701032,0.1927507878045,25385396.85205,25666681.5162568,133653083.9957,-0.0009382447614446,0,0,0,5.960967133553,2.241640771244e-82,0,1.404767461956,0.193260638418,-4.782344947292,-0.7929113767941,1.296043094973,-10.19950643602,7258.174374276,-1393.856078386,0,0,259183.000,2296,86368,0,914.3851660329
1100,-22656871.04792,-4985249.132095,-15517347.82718,0,0,0,-2.101107514039,0.1927702409191,25385257.46696,25666542.1306833,133652358.1841,-0.0009382447616389,0,0,0,5.960428906414,2.241137614841e-82,0,1.404805482593,0.1932802535594,-4.782112788932,-0.7928123386559,1.296044164124,-10.19915554913,7257.632698469,-1393.752055243,0,0,259183.100,2296,86368,0,1014.385630973
1200,-22656702.1232,-4985303.747429,-15517576.5885,0,0,0,-2.101082327615,0.1927896916228,25385118.10045,25666402.7636969,133651632.4692,-0.0009382447618333,0,0,0,5.959890717569,2.240634537227e-82,0,1.404843506819,0.1932998662631,-4.781880659422,-0.7927133242809,1.296045233249,-10.19880469891,7256.664690718,-1393.566159531,0,0,259183.200,2296,86368,0,1114.386095851
1300,-22656533.19634,-4985358.364577,-15517805.34697,0,0,0,-2.101057141762,0.1928091399153,25384978.75253,25666263.4153004,133650906.8511,-0.0009382447620276,0,0,0,5.95935256703,2.240131538405e-82,0,1.40488153541,0.1933194765935,-4.781648558003,-0.792614326673,1.296046302348,-10.19845388463,7255.696556877,-1393.380239606,0,0,259183.300,2296,86368,0,1214.386560668
1400,-22656364.26732,-4985412.983541,-15518034.1026,0,0,0,-2.10103195648,0.192828585796,25384839.42321,25666124.0854966,133650181.3299,-0.0009382447622219,0,0,0,5.958814454808,2.239628618378e-82,0,1.404919567499,0.1933390844588,-4.781416485759,-0.7925153075184,1.296047371421,-10.19810310736,7254.728316344,-1393.194299191,0,0,259183.400,2296,86368,0,1314.387025422
1500,-22656195.33615,-4985467.604319,-15518262.85538,0,0,0,-2.10100677177,0.1928480292647,25384700.11248,25665984.7742884,133649455.9055,-0.0009382447624163,0,0,0,5.958276380915,2.239125777148e-82,0,1.404957605583,0.1933586899717,-4.781184441358,-0.7924162830983,1.296048440468,-10.19775236578,7253.759910922,-1393.008327112,0,0,259183.500,2296,86368,0,1414.387490114
1600,-22656026.40282,-4985522.226912,-15518491.60532,0,0,0,-2.100981587631,0.1928674703207,25384560.82035,25665845.4816785,133648730.5779,-0.0009382447626106,0,0,0,5.957738345363,2.238623014716e-82,0,1.4049956434,0.193378292991,-4.780952426472,-0.7923172433051,1.296049509488,-10.19740166157,7252.791398809,-1392.822334543,0,0,259183.600,2296,86368,0,1514.387954744
1700,-22655857.46735,-4985576.851319,-15518720.35241,0,0,0,-2.100956404065,0.1928869089636,25384421.54682,25665706.2076698,133648005.3472,-0.000938244762805,0,0,0,5.957200348162,2.238120331085e-82,0,1.405033687295,0.1933978937045,-4.780720438875,-0.7922182158319,1.296050578482,-10.1970509925,7251.822702409,-1392.636306584,0,0,259183.700,2296,86368,0,1614.388419312
1800,-22655688.52972,-4985631.477542,-15518949.09666,0,0,0,-2.100931221073,0.192906345193,25384282.2919,25665566.9522651,133647280.2134,-0.0009382447629993,0,0,0,5.956662389325,2.237617726259e-82,0,1.405071734961,0.1934174919368,-4.780488480644,-0.7921192049139,1.296051647449,-10.19670036067,7250.853938115,-1392.450265586,0,0,259183.800,2296,86368,0,1714.388883818
1900,-22655519.58995,-4985686.105579,-15519177.83806,0,0,0,-2.100906038654,0.1929257790084,25384143.05558,25665427.7154671,133646555.1764,-0.0009382447631936,0,0,0,5.956124468862,2.237115200237e-82,0,1.405109786948,0.1934370877988,-4.780256550468,-0.792020183143,1.29605271639,-10.19634976475,7249.884921639,-1392.26417616,0,0,259183.900,2296,86368,0,1814.389348262
2000,-22655350.64802,-4985740.735431,-15519406.57662,0,0,0,-2.100880856809,0.1929452104093,25384003.83787,25665288.4971152,133645830.2372,-0.000938244763388,0,0,0,5.955423067574,2.236612753022e-82,0,1.40514784389,0.193456681229,-4.780024649074,-0.7919211515458,1.296053785304,-10.1959992055,7248.490019386,-1391.996299848,0,0,259184.000,2296,86384,0,1914.389812645
2100,-22655181.70393,-4985795.367098,-15519635.31233,0,0,0,-2.100855675539,0.1929646393954,25383864.63877,25665149.2975393,133645105.3941,-0.0009382447635823,0,0,0,5.954885237843,2.236110384619e-82,0,1.405185901647,0.1934762722343,-4.779792776381,-0.7918221044538,1.296054854191,-10.19564868282,7247.94656861,-1391.89193584,0,0,259184.100,2296,86384,0,2014.390276964
2200,-22655012.7577,-4985850.00058,-15519864.04519,0,0,0,-2.100830494844,0.1929840659661,25383725.45829,25665010.1165786,133644380.6479,-0.0009382447637767,0,0,0,5.954347446525,2.235608095027e-82,0,1.405223964594,0.1934958608328,-4.779560932173,-0.7917230681336,1.296055923052,-10.19529819652,7246.977144764,-1391.705768183,0,0,259184.200,2296,86384,0,2114.390741222
2300,-22654843.80931,-4985904.635877,-15520092.77521,0,0,0,-2.100805314725,0.193003490121,25383586.29643,25664870.9542359,133643655.9987,-0.000938244763971,0,0,0,5.953809693633,2.235105884249e-82,0,1.405262031638,0.1935154470055,-4.779329116676,-0.7916240559852,1.296056991886,-10.19494774681,7246.00756573,-1391.519570723,0,0,259184.300,2296,86384,0,2214.391205418
2400,-22654674.85878,-4985959.272989,-15520321.50238,0,0,0,-2.100780135182,0.1930229118596,25383447.15319,25664731.8105141,133642931.4464,-0.0009382447641653,0,0,0,5.953271979177,2.234603752289e-82,0,1.40530010262,0.1935350307369,-4.779097330074,-0.7915250099941,1.296058060693,-10.1945973339,7245.037909101,-1391.333358362,0,0,259184.400,2296,86384,0,2314.391669551
2500,-22654505.90609,-4986013.911916,-15520550.2267,0,0,0,-2.100754956216,0.1930423311815,25383308.02857,25664592.685416,133642206.9911,-0.0009382447643597,0,0,0,5.952734303169,2.234101699146e-82,0,1.405338177393,0.193554612084,-4.778865571692,-0.791425974162,1.296059129473,-10.1942469571,7244.068048788,-1391.147106886,0,0,259184.500,2296,86384,0,2414.392133623
2600,-22654336.95125,-4986068.552658,-15520778.94818,0,0,0,-2.100729777828,0.1930617480863,25383168.92258,25664453.5789444,133641482.6328,-0.000938244764554,0,0,0,5.95219666562,2.233599724826e-82,0,1.405376257838,0.1935741910929,-4.778633840983,-0.7913269253019,1.296060198227,-10.19389661589,7243.097994489,-1390.960818157,0,0,259184.600,2296,86384,0,2514.392597632
2700,-22654167.99425,-4986123.195215,-15521007.66682,0,0,0,-2.100704600017,0.1930811625733,25383029.83521,25664314.491102,133640758.3715,-0.0009382447647484,0,0,0,5.951659066542,2.233097829328e-82,0,1.405414338539,0.1935937675228,-4.778402140798,-0.7912278808769,1.296061266953,-10.19354631311,7242.127843197,-1390.774510801,0,0,259184.700,2296,86384,0,2614.393061579
2800,-22653999.03511,-4986177.839587,-15521236.38261,0,0,0,-2.100679422785,0.1931005746423,25382890.76648,25664175.4218917,133640034.2073,-0.0009382447649427,0,0,0,5.951121505946,2.232596012656e-82,0,1.405452424814,0.1936133416377,-4.778170468015,-0.7911288603153,1.296062335652,-10.19319604566,7241.157575513,-1390.588181093,0,0,259184.800,2296,86384,0,2714.393525464
2900,-22653830.07382,-4986232.485774,-15521465.09555,0,0,0,-2.100654246132,0.1931199842927,25382751.71639,25664036.3713164,133639310.14,-0.000938244765137,0,0,0,5.950583983844,2.232094274811e-82,0,1.405490514738,0.193632913376,-4.777938823358,-0.7910298175781,1.296063404324,-10.19284581425,7240.187152641,-1390.401821584,0,0,259184.900,2296,86384,0,2814.393989287
