Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
500,-9608789.075494,-17973649.91143,19068531.03427,0,0,0,-0.2665668017255,0.2339603149637,25093829.17096,25362478.1784874,132069014.1065,-0.000896095696769,0,0,0,6.27598847177,1.870286625611e-82,0,-3.043632848201,0.2338804863947,-4.298152175889,0.5648806066764,1.298550790241,-9.448322474543,-31430.1044331,6035.82111001,0,0,259182.500,2296,86368,0,415.3998791441
600,-9608728.796759,-17973859.58657,19068363.95413,0,0,0,-0.2665780776083,0.2338741792963,25094432.75956,25363081.7673971,132072157.1473,-0.0008960956962002,0,0,0,6.276468083582,1.870692169991e-82,0,-3.04363121813,0.2337943251718,-4.299186056562,0.5648667860099,1.298545062247,-9.44995561575,-31430.71258778,6035.937899724,0,0,259182.600,2296,86368,0,515.3978657882
700,-9608668.519833,-17974069.26025,19068196.8705,0,0,0,-0.2665893562302,0.2337880459389,25095036.35984,25363685.3679822,132075300.249,-0.0008960956956314,0,0,0,6.276947730143,1.871097949244e-82,0,-3.0436295862,0.2337081659559,-4.300219913154,0.5648529552901,1.29853933647,-9.451588580874,-31431.32046119,6036.05463542,0,0,259182.700,2296,86368,0,615.3958523934
800,-9608608.244713,-17974278.93246,19068029.78337,0,0,0,-0.2666006375916,0.2337019148914,25095639.97178,25364288.9802379,132078443.4114,-0.0008960956950626,0,0,0,6.277427411476,1.871503963629e-82,0,-3.043627952625,0.233622009604,-4.301253735378,0.5648391136757,1.298533612908,-9.453221359635,-31431.92803392,6036.171313375,0,0,259182.800,2296,86368,0,715.3938389596
900,-9608547.971401,-17974488.60322,19067862.69275,0,0,0,-0.2666119216932,0.2336157861537,25096243.5954,25364892.6041591,132081586.6345,-0.0008960956944938,0,0,0,6.277907127604,1.8719102134e-82,0,-3.043626315537,0.2335358554698,-4.302287530992,0.564825280678,1.298527891562,-9.454853959798,-31432.53534477,6036.287941039,0,0,259182.900,2296,86368,0,815.391825487
1000,-9608487.699897,-17974698.27252,19067695.59863,0,0,0,-0.2666232085354,0.2335296597257,25096847.23067,25365496.2395256,132084729.9196,-0.000896095693925,0,0,0,6.278171487805,1.872316698814e-82,0,-3.043624680375,0.2334497037797,-4.303321297277,0.5648114457871,1.298522172433,-9.456481622764,-31433.70320622,6036.512216553,0,0,259183.000,2296,86368,0,915.3898119761
1100,-9608427.430199,-17974907.94036,19067528.50102,0,0,0,-0.2666344981187,0.2334435356073,25097450.8776,25366099.8867632,132087873.2641,-0.0008960956933563,0,0,0,6.278651249169,1.87272342013e-82,0,-3.043623041702,0.2333635540948,-4.304355039501,0.5647976251501,1.298516455518,-9.458104124092,-31433.74923902,6036.521056667,0,0,259183.100,2296,86368,0,1015.387798426
1200,-9608367.16231,-17975117.60674,19067361.39991,0,0,0,-0.2666457904436,0.2333574137984,25098054.53618,25366703.5456514,132091016.6694,-0.0008960956927875,0,0,0,6.279131045397,1.873130377603e-82,0,-3.04362140158,0.2332774068831,-4.30538875205,0.5647837976007,1.298510740819,-9.45972644755,-31434.35565753,6036.637512967,0,0,259183.200,2296,86368,0,1115.385784836
1300,-9608306.896227,-17975327.27165,19067194.2953,0,0,0,-0.2666570855107,0.233271294299,25098658.2064,25367307.2161854,132094160.1353,-0.0008960956922187,0,0,0,6.279610876512,1.873537571493e-82,0,-3.043619759315,0.2331912617605,-4.306422439529,0.5647699537644,1.298505028336,-9.461348597752,-31434.96204695,6036.753963679,0,0,259183.300,2296,86368,0,1215.383771208
1400,-9608246.631952,-17975536.93511,19067027.1872,0,0,0,-0.2666683833205,0.2331851771087,25099261.88827,25367910.8983602,132097303.6618,-0.0008960956916499,0,0,0,6.280090742537,1.873945002057e-82,0,-3.043618115657,0.2331051192699,-4.307456095428,0.5647561259369,1.298499318068,-9.462970568191,-31435.568029,6036.87033616,0,0,259183.400,2296,86368,0,1315.381757541
1500,-9608186.369484,-17975746.59711,19066860.07561,0,0,0,-0.2666796838735,0.2330990622277,25099865.58177,25368514.5921709,132100447.2489,-0.0008960956910811,0,0,0,6.280570643494,1.874352669553e-82,0,-3.043616468251,0.2330189787485,-4.308489727696,0.5647422859277,1.298493610015,-9.464592366824,-31436.17380736,6036.986669526,0,0,259183.500,2296,86368,0,1415.379743835
1600,-9608126.108824,-17975956.25764,19066692.96051,0,0,0,-0.2666909871702,0.2330129496558,25100469.2869,25369118.2976126,132103590.8965,-0.0008960956905123,0,0,0,6.281050579408,1.874760574241e-82,0,-3.043614823187,0.232932840998,-4.309523326715,0.564728469667,1.298487904177,-9.46621398404,-31436.77923655,6037.102935836,0,0,259183.600,2296,86368,0,1515.377730091
1700,-9608065.849971,-17976165.91672,19066525.84193,0,0,0,-0.2667022932111,0.2329268393928,25101073.00366,25369722.0146802,132106734.6047,-0.0008960956899435,0,0,0,6.281530550301,1.875168716379e-82,0,-3.043613174355,0.2328467049292,-4.310556905555,0.5647146332071,1.298482200553,-9.467835432914,-31437.38454934,6037.219179794,0,0,259183.700,2296,86368,0,1615.375716307
1800,-9608005.592925,-17976375.57433,19066358.71984,0,0,0,-0.2667136019968,0.2328407314386,25101676.73204,25370325.7433688,132109878.3734,-0.0008960956893747,0,0,0,6.282010556196,1.875577096228e-82,0,-3.043611523837,0.2327605715811,-4.311590451749,0.5647007980817,1.298476499145,-9.469456700985,-31437.98960996,6037.335375324,0,0,259183.800,2296,86368,0,1715.373702485
1900,-9607945.337687,-17976585.23049,19066191.59426,0,0,0,-0.2667249135277,0.2327546257933,25102280.47203,25370929.4836734,132113022.2026,-0.000896095688806,0,0,0,6.282490597117,1.875985714047e-82,0,-3.043609871228,0.2326744402856,-4.312623973311,0.5646869610919,1.298470799951,-9.471077796276,-31438.5943214,6037.451503798,0,0,259183.900,2296,86368,0,1815.371688624
2000,-9607885.084256,-17976794.88518,19066024.46519,0,0,0,-0.2667362278044,0.2326685224565,25102884.22364,25371533.2353736,132116166.0934,-0.0008960956882372,0,0,0,6.282755024178,1.876394570095e-82,0,-3.043608215812,0.2325883114159,-4.313657465767,0.5646731275312,1.298465102972,-9.472698714315,-31439.7602818,6037.675414234,0,0,259184.000,2296,86384,0,1915.369674726
2100,-9607824.832632,-17977004.53842,19065857.33262,0,0,0,-0.2667475448273,0.2325824214283,25103487.98685,25372136.9988955,132119310.0435,-0.0008960956876684,0,0,0,6.283235110788,1.876803664635e-82,0,-3.043606561747,0.2325021848963,-4.314690930023,0.5646593069751,1.298459408207,-9.474319456017,-31439.80302653,6037.683622912,0,0,259184.100,2296,86384,0,2015.367660787
2200,-9607764.582815,-17977214.19019,19065690.19656,0,0,0,-0.2667588645971,0.2324963227086,25104091.76166,25372740.7740186,132122454.054,-0.0008960956870996,0,0,0,6.283715232492,1.877212997926e-82,0,-3.043604904674,0.2324160606469,-4.315724367037,0.5646454764754,1.298453715656,-9.475940022347,-31440.40703963,6037.799617276,0,0,259184.200,2296,86384,0,2115.36564681
2300,-9607704.334806,-17977423.8405,19065523.057,0,0,0,-0.2667701871143,0.2324102262972,25104695.54807,25373344.5607381,132125598.1249,-0.0008960956865308,0,0,0,6.284195389314,1.87762257023e-82,0,-3.043603245664,0.2323299387727,-4.316757775552,0.5646316365938,1.29844802532,-9.477560412051,-31441.01084903,6037.915572524,0,0,259184.300,2296,86384,0,2215.363632794
2400,-9607644.088604,-17977633.48935,19065355.91394,0,0,0,-0.2667815123792,0.232324132194,25105299.34608,25373948.3590488,132128742.2562,-0.000896095685962,0,0,0,6.284675581277,1.878032381808e-82,0,-3.043601584856,0.2322438193625,-4.317791154499,0.5646178023251,1.298442337198,-9.47918062407,-31441.61428017,6038.031455129,0,0,259184.400,2296,86384,0,2315.36161874
2500,-9607583.844209,-17977843.13674,19065188.76739,0,0,0,-0.2667928403925,0.2322380403989,25105903.15566,25374552.1689459,132131886.4478,-0.0008960956853932,0,0,0,6.285155808405,1.878442432922e-82,0,-3.043599922474,0.2321577020677,-4.318824508063,0.5646039651721,1.298436651289,-9.480800662593,-31442.21749792,6038.147296757,0,0,259184.500,2296,86384,0,2415.359604647
2600,-9607523.601621,-17978052.78267,19065021.61734,0,0,0,-0.2668041711547,0.2321519509119,25106506.97683,25375155.9904245,132135030.6996,-0.0008960956848244,0,0,0,6.285636070721,1.878852723834e-82,0,-3.043598256693,0.2320715866205,-4.319857839456,0.5645901449511,1.298430967594,-9.482420530839,-31442.82043439,6038.263084367,0,0,259184.600,2296,86384,0,2515.357590515
2700,-9607463.36084,-17978262.42714,19064854.4638,0,0,0,-0.2668155046663,0.2320658637327,25107110.80958,25375759.8234795,132138175.0118,-0.0008960956842556,0,0,0,6.286116368248,1.879263254807e-82,0,-3.043596592623,0.2319854744341,-4.320891131722,0.5645763139071,1.298425286113,-9.484040211859,-31443.42307989,6038.378816098,0,0,259184.700,2296,86384,0,2615.355576345
2800,-9607403.121867,-17978472.07014,19064687.30676,0,0,0,-0.2668268409278,0.2319797788614,25107714.65389,25376363.6681061,132141319.3842,-0.0008960956836869,0,0,0,6.286596701009,1.879674026103e-82,0,-3.043594925286,0.2318993639495,-4.321924403568,0.5645624724495,1.298419606846,-9.485659724364,-31444.0254829,6038.494501263,0,0,259184.800,2296,86384,0,2715.353562136
2900,-9607342.884701,-17978681.71169,19064520.14623,0,0,0,-0.2668381799398,0.2318936962977,25108318.50978,25376967.5242992,132144463.8169,-0.0008960956831181,0,0,0,6.287077069028,1.880085037987e-82,0,-3.04359325653,0.2318132555198,-4.322957650756,0.5645486418703,1.298413929792,-9.487279064125,-31444.62761433,6038.610134274,0,0,259184.900,2296,86384,0,2815.351547889
3000,-9607282.649342,-17978891.35177,19064352.9822,0,0,0,-0.2668495217027,0.2318076160416,25108922.37722,25377571.3918381,132147608.3109,-0.0008960956825493,0,0,0,6.287341565163,1.880496290721e-82,0,-3.043591585408,0.2317271501965,-4.323990860669,0.564534803744,1.298408254951,-9.488898218529,-31445.79168337,6038.833681494,0,0,259185.000,2296,86384,0,2915.349533604
3100,-9607222.41579,-17979100.9904,19064185.81468,0,0,0,-0.266860866217,0.2317215380931,25109526.25622,25378175.2711495,132150752.8639,-0.0008960956819805,0,0,0,6.287821979327,1.880907784568e-82,0,-3.043589911315,0.2316410463693,-4.325024052631,0.5645209834071,1.298402582324,-9.490517206908,-31445.83120794,6038.841271773,0,0,259185.100,2296,86384,0,3015.347519279
3200,-9607162.184045,-17979310.62756,19064018.64367,0,0,0,-0.2668722134833,0.2316354624519,25110130.14678,25378779.1620127,132153897.4771,-0.0008960956814117,0,0,0,6.288302428819,1.881319519794e-82,0,-3.043588238559,0.2315549453742,-4.326057210608,0.5645071523218,1.298396911909,-9.492136013233,-31446.43257313,6038.956757635,0,0,259185.200,2296,86384,0,3115.345504916
3300,-9607101.954107,-17979520.26326,19063851.46915,0,0,0,-0.2668835635022,0.2315493891179,25110734.04888,25379383.0644227,132157042.1504,-0.0008960956808429,0,0,0,6.288782913661,1.881731496663e-82,0,-3.043586562742,0.2314688467093,-4.327090340624,0.5644933109127,1.298391243708,-9.493754643535,-31447.03365704,6039.07218948,0,0,259185.300,2296,86384,0,3215.343490514
3400,-9607041.725976,-17979729.8975,19063684.29115,0,0,0,-0.266894916274,0.2314633180912,25111337.96252,25379986.9783746,132160186.8839,-0.0008960956802741,0,0,0,6.289263433878,1.88214371544e-82,0,-3.043584885303,0.2313827499901,-4.328123447294,0.5644794787636,1.298385577719,-9.495373102436,-31447.63456636,6039.187587798,0,0,259185.400,2296,86384,0,3315.341476074
3500,-9606981.499653,-17979939.53028,19063517.10964,0,0,0,-0.2669062717994,0.2313772493715,25111941.8877,25380590.9038633,132163331.6774,-0.0008960956797053,0,0,0,6.289743989493,1.88255617639e-82,0,-3.043583206115,0.2312966555993,-4.329156526024,0.5644656409554,1.298379913943,-9.496991385346,-31448.2352138,6039.302935824,0,0,259185.500,2296,86384,0,3415.339461596
3600,-9606921.275136,-17980149.16159,19063349.92465,0,0,0,-0.2669176300788,0.2312911829587,25112545.82441,25381194.8408841,132166476.5309,-0.0008960956791365,0,0,0,6.290224580529,1.882968879779e-82,0,-3.043581524831,0.2312105636726,-4.330189575187,0.5644518199511,1.29837425238,-9.498609490647,-31448.83559937,6039.418233559,0,0,259185.600,2296,86384,0,3515.337447079
3700,-9606861.052427,-17980358.79145,19063182.73615,0,0,0,-0.2669289911129,0.2312051188528,25113149.77265,25381798.7894318,132169621.4445,-0.0008960956785677,0,0,0,6.29070520701,1.883381825872e-82,0,-3.04357984025,0.2311244742319,-4.331222594519,0.5644379885784,1.298368593029,-9.500227418079,-31449.43572305,6039.533481002,0,0,259185.700,2296,86384,0,3615.335432523
3800,-9606800.831525,-17980568.41984,19063015.54417,0,0,0,-0.266940354902,0.2311190570537,25113753.73241,25382402.7495017,132172766.418,-0.0008960956779989,0,0,0,6.291185868959,1.883795014937e-82,0,-3.0435781577,0.2310383864394,-4.332255594073,0.5644241476158,1.29836293589,-9.501845177704,-31450.03560424,6039.648681879,0,0,259185.800,2296,86384,0,3715.333417929
3900,-9606740.612429,-17980778.04677,19062848.34868,0,0,0,-0.2669517214467,0.2310329975611,25114357.70368,25383006.7210886,132175911.4516,-0.0008960956774302,0,0,0,6.2916665664,1.884208447239e-82,0,-3.043576471789,0.2309523017175,-4.333288556783,0.5644103156404,1.298357280964,-9.503462752459,-31450.63524296,6039.76383619,0,0,259185.900,2296,86384,0,3815.331403297
4000,-9606680.395141,-17980987.67224,19062681.14971,0,0,0,-0.2669630907475,0.2309469403752,25114961.68647,25383610.7039716,132179056.5462,-0.0008960956768614,0,0,0,6.291931133841,1.884622123046e-82,0,-3.043574784075,0.2308662191759,-4.33432149333,0.5643964775111,1.298351628249,-9.505080153034,-31451.79733335,6039.987003431,0,0,259186.000,2296,86384,0,3915.329388627
4100,-9606620.17966,-17981197.29625,19062513.94724,0,0,0,-0.266974462805,0.2308608854956,25115565.68077,25384214.698578,132182201.6996,-0.0008960956762926,0,0,0,6.292411877887,1.885036042624e-82,0,-3.043573094485,0.2307801386139,-4.335354406123,0.5643826572403,1.298345977747,-9.506697381843,-31451.83368626,6039.993984625,0,0,259186.100,2296,86384,0,4015.327373918
4200,-9606559.965985,-17981406.9188,19062346.74127,0,0,0,-0.2669858376197,0.2307748329223,25116169.68657,25384818.7046867,132185346.9129,-0.0008960956757238,0,0,0,6.292892657496,1.885450206242e-82,0,-3.043571403489,0.2306940607363,-4.336387286705,0.5643688258872,1.298340329457,-9.508314430435,-31452.43242294,6040.10896571,0,0,259186.200,2296,86384,0,4115.32535917
4300,-9606499.754118,-17981616.53988,19062179.53181,0,0,0,-0.266997215192,0.2306887826553,25116773.70386,25385422.7222927,132188492.1861,-0.000896095675155,0,0,0,6.29337347269,1.885864614167e-82,0,-3.043569708865,0.2306079849904,-4.337420141709,0.5643549843715,1.298334683378,-9.50993130545,-31453.03107233,6040.223930031,0,0,259186.300,2296,86384,0,4215.323344384
4400,-9606439.544057,-17981826.1595,19062012.31885,0,0,0,-0.2670085955226,0.2306027346943,25117377.73265,25386026.7513912,132191637.5191,-0.0008960956745862,0,0,0,6.293854323493,1.886279266669e-82,0,-3.043568016009,0.2305219111688,-4.338452973621,0.5643411510197,1.298329039511,-9.511548009381,-31453.62935315,6040.338823572,0,0,259186.400,2296,86384,0,4315.32132956
4500,-9606379.335804,-17982035.77766,19061845.1024,0,0,0,-0.2670199786119,0.2305166890394,25117981.77293,25386630.7919771,132194782.9119,-0.0008960956740174,0,0,0,6.29433520993,1.886694164015e-82,0,-3.043566320035,0.2304358401263,-4.339485772185,0.5643273134425,1.298323397855,-9.513164531977,-31454.22742058,6040.453676134,0,0,259186.500,2296,86384,0,4415.319314697
4600,-9606319.129357,-17982245.39436,19061677.88246,0,0,0,-0.2670313644604,0.2304306456904,25118585.82468,25387234.8440456,132197928.3646,-0.0008960956734486,0,0,0,6.294816132023,1.887109306474e-82,0,-3.043564622322,0.2303497715084,-4.340518541657,0.5643134924458,1.298317758411,-9.5147808775,-31454.82511944,6040.568457916,0,0,259186.600,2296,86384,0,4515.317299797
4700,-9606258.924718,-17982455.0096,19061510.65902,0,0,0,-0.2670427530687,0.2303446046471,25119189.88792,25387838.9075917,132201073.877,-0.0008960956728798,0,0,0,6.295297089796,1.887524694317e-82,0,-3.043562922906,0.2302637046939,-4.341551289489,0.5642996622987,1.298312121178,-9.51639705341,-31455.42263401,6040.683204308,0,0,259186.700,2296,86384,0,4615.315284858
4800,-9606198.721885,-17982664.62337,19061343.43208,0,0,0,-0.2670541444373,0.2302585659095,25119793.96263,25388442.9826104,132204219.4491,-0.000896095672311,0,0,0,6.295778083274,1.887940327812e-82,0,-3.043561219832,0.2301776403373,-4.342584007828,0.5642858203487,1.298306486156,-9.518013051859,-31456.0199934,6040.797920898,0,0,259186.800,2296,86384,0,4715.31326988
4900,-9606138.520859,-17982874.23568,19061176.20165,0,0,0,-0.2670655385666,0.2301725294775,25120398.0488,25389047.0690968,132207365.0809,-0.0008960956717422,0,0,0,6.29625911248,1.888356207231e-82,0,-3.043559518457,0.2300915783501,-4.343616697735,0.5642719873564,1.298300853345,-9.519628873913,-31456.61697451,6040.912564844,0,0,259186.900,2296,86384,0,4815.311254865
5000,-9606078.32164,-17983083.84653,19061008.96773,0,0,0,-0.2670769354573,0.230086495351,25121002.14644,25389651.1668296,132210510.7736,-0.0008960956711734,0,0,0,6.296523753475,1.888772332842e-82,0,-3.043557814006,0.2300055186883,-4.344649359739,0.564258148713,1.298295222745,-9.521244520111,-31457.77713474,6041.135361418,0,0,259187.000,2296,86384,0,4915.309239811
5100,-9606018.124228,-17983293.45592,19060841.73031,0,0,0,-0.2670883351099,0.2300004635298,25121606.25554,25390255.2762366,132213656.5248,-0.0008960956706046,0,0,0,6.29700482975,1.889188704918e-82,0,-3.043556107855,0.2299194615728,-4.345681991189,0.5642443277311,1.298289594356,-9.522859987807,-31457.81015109,6041.141701862,0,0,259187.100,2296,86384,0,5015.307224719
5200,-9605957.928623,-17983503.06385,19060674.4894,0,0,0,-0.2670997375248,0.2299144340139,25122210.37609,25390859.3970965,132216802.3356,-0.0008960956700359,0,0,0,6.297485941823,1.889605323729e-82,0,-3.04355439972,0.2298334066486,-4.346714596345,0.5642304980764,1.298283968178,-9.524475281265,-31458.40641446,6041.256207973,0,0,259187.200,2296,86384,0,5115.305209589
5300,-9605897.734824,-17983712.67031,19060507.24499,0,0,0,-0.2671111427025,0.2298284068031,25122814.50808,25391463.5294044,132219948.2061,-0.0008960956694671,0,0,0,6.297967089718,1.890022189547e-82,0,-3.043552689758,0.2297473535313,-4.347747179818,0.5642166552564,1.29827834421,-9.526090405104,-31459.00249354,6041.370678693,0,0,259187.300,2296,86384,0,5215.303194421
5400,-9605837.542833,-17983922.27531,19060339.99709,0,0,0,-0.2671225506437,0.2297423818974,25123418.65152,25392067.6731553,132223094.1361,-0.0008960956688983,0,0,0,6.29844827346,1.890439302644e-82,0,-3.043550976579,0.229661303219,-4.348779729635,0.5642028218806,1.298272722452,-9.527705347357,-31459.59826224,6041.485089809,0,0,259187.400,2296,86384,0,5315.301179214
5500,-9605777.352648,-17984131.87885,19060172.7457,0,0,0,-0.2671339613488,0.2296563592966,25124022.8064,25392671.8283442,132226240.1257,-0.0008960956683295,0,0,0,6.298929493072,1.890856663291e-82,0,-3.043549265337,0.2295752550594,-4.349812253619,0.5641889849891,1.298267102905,-9.529320115854,-31460.19366237,6041.599430144,0,0,259187.500,2296,86384,0,5415.299163969
